Id,Source,Target,Weight
0,pr1,pr11,0.6599999999999999
1,pr1,pr15,0.18
2,pr1,pr17,0.54
3,pr1,pr20,0.18
4,pr1,pr21,0.9
5,pr1,pr22,0.42
6,pr1,pr6,0.12
7,pr1,pr9,0.12
8,pr1,94,0.18
9,pr1,124,0.12
10,pr1,140,0.42
11,pr1,80,0.72
12,pr1,121,0.8400000000000001
13,pr1,105,0.18
14,pr10,pr12,0.06
15,pr10,pr19,0.06
16,pr10,pr23,0.3
17,pr10,pr3,0.06
18,pr10,pr7,0.06
19,pr10,70,0.06
20,pr10,94,0.06
21,pr10,116,0.6599999999999999
22,pr10,123,0.42
23,pr10,127,0.06
24,pr10,130,0.06
25,pr10,80,0.18
26,pr10,86,0.18
27,pr10,96,0.78
28,pr10,AMG6,0.12
29,pr11,pr10,0.06
30,pr11,pr15,0.12
31,pr11,pr17,0.24
32,pr11,pr19,0.18
33,pr11,pr21,0.3
34,pr11,pr3,0.12
35,pr11,pr6,0.06
36,pr11,116,0.12
37,pr11,123,1.02
38,pr11,86,0.3
39,pr11,96,0.3
40,pr11,100,0.18
41,pr11,126,0.18
42,pr11,121,0.36
43,pr12,pr10,0.06
44,pr12,pr15,0.18
45,pr12,68,0.06
46,pr12,70,0.6000000000000001
47,pr12,92,0.18
48,pr12,116,0.48
49,pr12,123,0.42
50,pr12,130,1.08
51,pr12,157,0.12
52,pr12,96,0.48
53,pr12,100,0.6
54,pr12,126,1.44
55,pr12,105,0.72
56,pr12,112,0.54
57,pr12,119,0.3
58,pr12,135,0.12
59,pr12,159,0.06
60,pr13,pr13,0.42
61,pr13,pr15,0.24
62,pr13,pr19,0.24
63,pr13,pr23,0.12
64,pr13,pr9,0.06
65,pr13,trIN,0.42
66,pr13,90,0.12
67,pr13,116,0.12
68,pr13,127,0.6000000000000001
69,pr13,130,0.06
70,pr13,157,0.18
71,pr13,112,0.12
72,pr13,152,0.06
73,pr14,pr15,0.18
74,pr14,17,0.12
75,pr15,pr1,0.12
76,pr15,pr11,0.06
77,pr15,pr12,0.12
78,pr15,pr13,1.08
79,pr15,pr14,0.48
80,pr15,pr17,1.02
81,pr15,pr20,0.54
82,pr15,pr21,0.12
83,pr15,pr23,0.42
84,pr15,pr4,0.72
85,pr15,pr6,0.7799999999999999
86,pr15,pr7,0.24
87,pr15,vacIN1,0.18
88,pr15,trIN,0.9
89,pr15,70,0.24
90,pr15,78,0.36
91,pr15,13,0.06
92,pr15,42,0.18
93,pr15,90,0.42
94,pr15,74,0.36
95,pr15,94,0.24
96,pr15,123,0.24
97,pr15,124,0.06
98,pr15,130,1.6199999999999999
99,pr15,140,0.12
100,pr15,80,0.18
101,pr15,126,0.6
102,pr15,121,2.46
103,pr15,112,0.54
104,pr15,119,0.36
105,pr15,103,0.06
106,pr16,pr21,0.06
107,pr16,pr22,1.08
108,pr16,pr23,0.06
109,pr16,pr6,0.3
110,pr16,pr7,0.06
111,pr16,pr8,0.18
112,pr16,pr9,0.06
113,pr16,70,0.3
114,pr16,130,0.72
115,pr16,126,0.24
116,pr16,121,0.18
117,pr16,105,0.84
118,pr17,pr11,0.6599999999999999
119,pr17,pr15,0.66
120,pr17,pr18,0.66
121,pr17,pr19,0.06
122,pr17,pr2,0.36
123,pr17,pr20,0.12
124,pr17,pr21,0.96
125,pr17,pr23,0.18
126,pr17,pr3,0.06
127,pr17,108,0.06
128,pr17,116,0.06
129,pr17,123,0.06
130,pr17,80,0.06
131,pr18,pr11,0.06
132,pr18,pr19,0.12
133,pr18,pr20,0.24
134,pr18,108,0.12
135,pr18,123,0.18
136,pr18,130,0.24
137,pr19,pr1,0.24
138,pr19,pr11,0.3
139,pr19,pr2,0.06
140,pr19,pr20,0.66
141,pr19,pr22,0.8999999999999999
142,pr19,pr3,0.3
143,pr19,pr6,0.3
144,pr19,pr7,0.12
145,pr19,pr8,0.36
146,pr19,pr9,0.42
147,pr19,trIN,0.36
148,pr19,94,0.12
149,pr19,116,1.14
150,pr19,123,0.12
151,pr19,130,0.6000000000000001
152,pr19,140,0.18
153,pr19,157,0.18
154,pr19,80,0.42
155,pr19,105,0.48
156,pr19,112,0.12
157,pr2,pr10,0.12
158,pr2,pr18,0.24
159,pr2,pr22,0.18
160,pr2,pr3,0.06
161,pr2,pr4,0.06
162,pr2,pr9,0.24
163,pr2,130,0.48
164,pr20,pr10,0.3
165,pr20,pr16,0.36
166,pr20,pr19,0.48
167,pr20,pr2,0.06
168,pr20,pr20,0.36
169,pr20,pr21,0.54
170,pr20,pr23,0.06
171,pr20,pr3,0.6599999999999999
172,pr20,pr6,0.06
173,pr20,pr7,0.36
174,pr20,30,0.3
175,pr20,162,0.12
176,pr20,trIN,0.12
177,pr20,70,0.36
178,pr20,78,0.12
179,pr20,42,0.12
180,pr20,74,0.06
181,pr20,94,0.24
182,pr20,116,0.06
183,pr20,124,0.06
184,pr20,127,1.32
185,pr20,130,0.36
186,pr20,140,0.6
187,pr20,157,0.36
188,pr20,80,0.24
189,pr20,121,0.48
190,pr20,112,0.42
191,pr21,pr1,0.12
192,pr21,pr11,0.66
193,pr21,pr16,0.54
194,pr21,pr19,0.47000000000000003
195,pr21,pr20,0.12
196,pr21,pr22,0.06
197,pr21,pr23,0.12
198,pr21,pr8,0.12
199,pr21,pr9,0.54
200,pr21,trIN,0.06
201,pr21,70,0.06
202,pr21,96,0.06
203,pr21,100,0.12
204,pr21,152,0.06
205,pr22,pr1,0.06
206,pr22,pr13,0.36
207,pr22,pr16,0.12
208,pr22,pr18,0.12
209,pr22,pr19,0.06
210,pr22,pr22,0.12
211,pr22,pr9,0.42
212,pr22,108,0.24
213,pr22,116,0.6599999999999999
214,pr22,123,0.36
215,pr22,80,0.18
216,pr22,121,0.6
217,pr22,112,0.12
218,pr23,pr10,0.3
219,pr23,pr13,0.12
220,pr23,pr15,0.12
221,pr23,pr16,0.18
222,pr23,pr17,0.18
223,pr23,pr19,0.3
224,pr23,pr20,0.06
225,pr23,pr7,0.18
226,pr23,68,0.18
227,pr23,70,0.06
228,pr23,78,0.24
229,pr23,130,0.36
230,pr23,80,0.42
231,pr23,121,0.48
232,pr23,105,0.78
233,pr23,119,0.24
234,pr3,pr10,0.6
235,pr3,pr12,0.24
236,pr3,pr13,0.06
237,pr3,pr18,0.06
238,pr3,pr2,0.18
239,pr3,pr5,0.06
240,pr3,pr6,0.18
241,pr3,70,0.06
242,pr3,22,0.825
243,pr3,116,0.54
244,pr3,123,0.24
245,pr3,130,0.18
246,pr3,86,0.06
247,pr3,96,0.6599999999999999
248,pr3,126,0.06
249,pr3,105,0.3
250,pr4,pr15,0.36
251,pr4,pr17,0.12
252,pr4,pr23,0.22499999999999998
253,pr4,pr3,0.46499999999999997
254,pr4,pr9,0.06
255,pr4,70,0.24
256,pr4,50,0.06
257,pr4,16,1.14
258,pr4,90,0.12
259,pr4,116,0.12
260,pr4,130,0.18
261,pr4,86,0.48
262,pr4,126,0.6
263,pr4,121,0.54
264,pr5,pr16,0.12
265,pr5,trIN,0.18
266,pr5,68,0.24
267,pr5,130,0.6599999999999999
268,pr5,100,0.06
269,pr5,121,0.36
270,pr5,105,0.12
271,pr5,112,0.12
272,pr5,119,0.24
273,pr6,pr1,0.24
274,pr6,pr16,0.51
275,pr6,pr19,0.12
276,pr6,pr21,0.18
277,pr6,pr3,0.18
278,pr6,pr4,0.06
279,pr6,70,0.06
280,pr6,108,0.12
