Id,Source,Target,Weight
0,0,3,-0.43070015
1,0,73,-0.3662279
2,0,97,-0.47175688
3,0,119,-0.3693831
4,0,129,0.13492534
5,1,9,0.2478112
6,1,22,0.49792278
7,1,28,-1.1556855
8,1,42,-0.32941106
9,1,85,-0.17155826
10,1,91,0.45223606
11,1,120,-0.033901863
12,1,122,-0.43817648
13,2,45,0.42730373
14,2,75,-0.64584136
15,2,79,-0.32443404
16,2,89,-0.15843275
17,2,103,0.20804626
18,3,6,-0.7120495
19,3,14,0.28152356
20,3,53,0.8395761
21,3,64,0.51791704
22,3,72,-0.029681582
23,3,99,-0.30409092
24,3,110,0.07687474
25,4,57,0.44079578
26,4,73,0.76667506
27,4,91,-0.07951806
28,4,112,0.6700634
29,6,24,0.05369194
30,6,27,0.8450998
31,6,44,-0.03176749
32,6,49,1.0486665
33,6,50,0.46354693
34,6,72,0.2847
35,6,96,-0.5133078
36,6,99,-0.56383437
37,6,101,-1.2823019
38,6,104,-0.9826558
39,6,109,0.21652019
40,6,122,-0.8472328
41,7,101,-0.80438024
42,7,102,0.47196335
43,7,112,-0.957907
44,7,127,-0.00352774
45,8,32,-0.12144132
46,8,72,-0.8471152
47,8,77,0.805829
48,8,85,1.0016872
49,8,89,-0.066914596
50,9,15,-0.34534225
51,9,18,-0.29105175
52,9,25,0.32576042
53,9,32,-0.16240166
54,9,47,0.4489838
55,9,54,-0.16103609
56,9,94,-1.1220757
57,9,130,0.31553668
58,10,73,-1.0673498
59,10,87,-0.44951352
60,10,112,-0.38329652
61,11,22,0.29719844
62,11,38,1.3053886
63,11,43,-0.012499793
64,11,80,-0.4639524
65,11,111,-0.15417871
66,11,112,0.17165898
67,12,3,0.43183658
68,12,14,-0.90515447
69,12,39,0.64333475
70,12,73,0.367546
71,12,84,0.07218294
72,13,5,-0.16454783
73,13,61,0.7015794
74,13,105,-0.41042167
75,14,7,-0.1613785
76,14,16,0.16142066
77,14,48,0.28825086
78,14,55,-0.5657251
79,14,92,0.22219081
80,15,21,0.0348954
81,15,22,-1.0507612
82,15,67,0.46011096
83,15,83,-0.42133445
84,15,125,-0.09644802
85,16,24,0.11051451
86,16,29,0.79979163
87,16,45,-0.08526702
88,16,68,-0.078047186
89,16,72,0.46567297
90,16,91,-0.009242786
91,16,98,-0.9666769
92,16,125,-0.3012984
93,17,51,0.6181457
94,17,53,0.34881893
95,17,58,-0.5532888
96,17,59,0.021911962
97,17,73,0.1617266
98,17,82,0.27723423
99,17,123,-0.0038331565
100,18,20,-0.3763339
101,18,23,-0.5678811
102,18,65,-1.0925465
103,18,71,0.18541656
104,19,27,0.090518355
105,19,41,0.30842867
106,19,63,-0.42502257
107,19,83,0.016631668
108,20,44,0.14595573
109,20,62,-0.0036452264
110,20,63,-0.14510845
111,20,74,0.46852237
112,20,118,0.26059657
113,21,28,0.0026337071
114,21,62,-0.59080106
115,21,84,-0.47219846
116,21,102,0.094149396
117,21,118,0.4670906
118,21,128,-0.7484326
119,22,33,-0.44053835
120,22,88,0.008242517
121,22,89,-0.15138924
122,23,13,0.18561512
123,23,106,-0.83846134
124,24,6,-0.45405155
125,24,16,-0.12382134
126,24,22,-1.2722497
127,24,34,0.9429127
128,24,71,0.5228602
129,24,79,-0.2417823
130,24,95,-0.5347642
131,24,106,0.2612698
132,24,129,0.76292104
133,25,2,-0.13757168
134,25,17,-0.42648393
135,25,20,-0.054460615
136,25,33,0.5057763
137,25,41,-0.92871493
138,25,43,-0.22706258
139,25,54,0.30452144
140,25,63,0.00039007986
141,25,74,-0.3586263
142,25,115,-0.22651054
143,25,127,0.6770943
144,26,63,0.17632161
145,26,105,-0.42178446
146,27,25,-0.6838081
147,27,36,-0.75441426
148,27,37,0.44998744
149,27,67,-0.3665416
150,27,68,-0.2644546
151,27,69,-0.23065592
152,27,84,0.66768265
153,27,112,-0.0138801
154,27,121,0.500656
155,28,11,0.239627
156,28,25,-0.1519455
157,28,26,-0.042022076
158,28,78,0.049585156
159,28,80,0.00846998
160,28,87,-0.01753322
161,28,112,-0.39100736
162,29,7,0.018055005
163,29,49,0.6005042
164,29,72,-0.08751332
165,29,98,-0.014616614
166,29,112,0.68797266
167,30,52,-0.25376356
168,30,70,0.020235525
169,30,115,-0.39854068
170,31,13,-0.20896797
171,31,76,-0.48439693
172,31,116,0.30785674
173,31,126,0.4824438
174,32,58,0.19335364
175,32,82,0.07629028
176,32,95,-0.16127342
177,33,17,0.077813566
178,33,88,-0.12534262
179,33,95,-0.28085667
180,34,22,0.071509846
181,34,89,0.25051364
182,34,104,-0.7223658
183,34,109,-0.733754
184,34,126,-0.23511122
185,35,13,0.37200168
186,35,17,-0.65367687
187,35,25,-0.499315
188,35,65,0.013244354
189,35,67,-0.6744397
190,35,72,0.13522418
191,35,89,-0.40298426
192,35,110,1.0312893
193,35,114,0.18540227
194,35,125,-0.0877039
195,36,105,-0.39615297
196,36,110,0.16843028
197,37,0,0.023303332
198,37,13,-0.011440981
199,37,46,0.47559056
200,37,47,0.5432669
201,37,72,-0.0005382821
202,37,91,-0.12227502
203,37,93,-0.4600119
204,37,100,-0.56715184
205,37,103,-0.0011537867
206,37,115,0.43327177
207,38,7,-0.3823502
208,38,32,-0.23863173
209,38,33,-0.21789178
210,38,65,0.010539061
211,38,69,-0.4254633
212,38,94,0.48461518
213,39,42,-0.50438136
214,39,80,0.28806883
215,39,82,-0.2798743
216,39,100,-0.32612658
217,40,10,0.6044909
218,40,22,0.56663793
219,40,44,-0.2458278
220,40,62,0.39188766
221,40,65,0.2728175
222,40,87,0.52172554
223,40,110,-0.3462432
224,41,5,-0.9348672
225,41,18,0.5042645
226,41,28,-0.4310524
227,41,32,-0.76576984
