Id,Source,Target,Weight
0,0,22,0.14220813
1,0,55,-0.7288403
2,0,57,0.41596997
3,0,79,-1.1396599
4,1,12,-0.47974387
5,1,23,-0.64820504
6,1,76,0.20561406
7,1,99,0.023312775
8,1,130,0.0038127534
9,2,4,0.3300709
10,2,17,0.30065954
11,2,50,-0.22892818
12,2,53,0.64181817
13,2,69,0.6043647
14,2,93,0.8052259
15,2,94,0.019039582
16,2,97,0.6241602
17,3,12,1.3544623
18,3,29,-0.8991708
19,3,39,0.5193135
20,3,71,0.19289578
21,3,103,-0.1443553
22,3,121,-0.31454143
23,4,2,0.24232548
24,4,19,0.06378094
25,4,38,-1.3534384
26,4,44,-0.45486757
27,4,57,0.1924762
28,4,123,0.040783156
29,5,19,-0.0002812387
30,5,66,1.1661417
31,5,108,-0.015535398
32,5,120,-0.4450814
33,5,125,-0.9963124
34,5,130,1.1453679
35,6,1,0.470683
36,6,9,0.2802197
37,6,20,0.0032033646
38,6,48,0.33035266
39,6,84,-0.3201642
40,6,123,0.5734014
41,7,20,0.34653747
42,7,22,-0.6009888
43,7,63,-0.7690678
44,7,73,0.5772911
45,7,75,0.26603147
46,7,77,1.053418
47,7,79,0.27580708
48,7,94,-0.28192303
49,8,7,0.005831736
50,8,31,1.2921516
51,8,41,-0.5762751
52,8,85,0.8229781
53,8,105,1.669913
54,8,113,0.47072315
55,8,117,-0.9352593
56,8,118,-0.9652266
57,9,12,-1.1033874
58,9,20,0.0059592677
59,9,23,-0.6948494
60,9,76,0.0018054565
61,9,122,1.1656682
62,10,4,0.41591164
63,10,24,0.71437573
64,10,33,-1.3650753
65,10,37,0.44992715
66,10,78,0.002382635
67,10,119,-1.0876894
68,11,38,-0.004240529
69,11,40,0.9389002
70,11,51,-0.6359528
71,11,80,-0.49358675
72,11,113,0.4777694
73,11,120,-0.7193747
74,12,4,-1.6017876
75,12,41,-0.28404546
76,12,74,0.11576984
77,12,89,0.5989055
78,13,3,-0.4436798
79,13,70,0.44063953
80,13,80,-0.6419614
81,13,94,0.76680946
82,13,116,0.14399599
83,14,18,0.220768
84,14,67,0.596949
85,14,70,0.16276255
86,14,88,-0.026571488
87,14,124,-1.7572064
88,15,47,-0.91824555
89,15,98,-0.658686
90,16,5,-0.9009561
91,16,26,-0.004202716
92,16,28,-0.46488842
93,16,37,0.8908234
94,16,102,1.2905847
95,16,107,0.52697796
96,16,117,0.0021131355
97,16,118,0.32283285
98,17,8,-1.2347085
99,17,15,0.6341356
100,17,28,1.2699943
101,17,37,0.005561296
102,17,57,-0.36422047
103,17,102,0.18331322
