Id,Source,Target,Weight
0,0,20,-0.3361671
1,0,27,-0.29173344
2,0,39,-0.18039845
3,0,57,-0.39319536
4,0,67,-0.1351612
5,0,89,0.50637317
6,0,92,0.06418785
7,0,110,-0.4641737
8,0,118,-0.118513115
9,1,24,0.28004754
10,1,27,0.6839392
11,1,37,-0.28389004
12,1,52,-0.40671015
13,1,85,0.06917069
14,1,87,-0.22241558
15,1,95,0.036839727
16,1,112,-0.14901185
17,1,118,-0.1013508
18,2,7,0.29392704
19,2,117,-0.4641069
20,2,119,-0.19985493
21,3,21,-0.1272842
22,3,36,0.16032544
23,3,44,-0.15880394
24,3,50,0.011843368
25,3,73,-0.30654782
26,3,125,0.2874475
27,4,0,0.20322728
28,4,28,-0.40147004
29,4,29,0.2987037
30,4,61,0.8955464
31,4,65,-0.062908836
32,4,80,0.28097963
33,4,82,-0.21871877
34,4,129,-0.016232012
35,4,130,-0.025405025
36,5,23,0.03438918
37,5,28,-0.15472129
38,5,82,0.2671853
39,5,123,-0.061993796
40,6,28,0.023569686
41,6,49,0.055554092
42,6,69,-0.5099036
43,6,84,0.31864378
44,7,21,0.07525891
45,7,26,0.63064593
46,7,46,0.16720666
47,7,74,0.06172161
48,7,112,0.35814828
49,8,63,-0.10715589
50,8,70,0.8487762
51,8,85,-0.06887517
52,8,103,0.039803557
53,8,116,0.46617067
54,9,29,-0.13109101
55,9,42,-0.335008
56,9,67,0.05647076
57,9,88,0.1577821
58,9,113,-0.11237973
59,9,121,0.22763737
60,10,12,-0.007319452
61,10,17,0.05104973
62,10,18,-0.6010582
63,10,27,-0.2110764
64,10,79,-0.10333281
65,10,108,0.05290561
66,11,22,0.6238935
67,11,36,-0.11355824
68,11,45,0.28391868
69,11,46,-0.2853277
70,11,65,-0.20186251
71,11,92,0.039396204
72,11,123,0.3228729
73,12,1,-0.5917939
74,12,26,0.05468564
75,12,78,0.8526984
76,12,101,-0.26201117
77,12,111,-0.7599901
78,13,4,0.4405208
79,13,35,0.17636329
80,13,49,0.21975173
81,13,51,0.35163534
82,13,53,-0.04491023
83,13,74,0.5541808
84,13,99,-0.23657097
85,13,130,-0.5278246
86,14,7,-0.7907816
87,14,8,0.0039627347
88,14,13,0.037323084
89,14,15,-0.28956306
90,14,42,-0.13456704
91,14,49,0.7861949
92,14,58,-0.052023295
93,14,62,-0.70844054
94,14,66,0.53367853
95,14,71,-0.5862267
96,14,122,-0.29291373
97,14,124,0.12209866
98,15,8,-0.7948529
99,15,23,0.27138895
100,15,32,0.45878124
101,15,40,-0.6328876
102,15,55,0.26985297
103,15,57,-0.00958256
104,15,108,0.26264304
105,15,111,0.45689335
106,15,114,0.34999475
107,15,125,0.5088348
108,16,9,-0.7712071
109,16,16,0.03738535
110,16,50,-0.028589133
111,16,71,0.017922224
112,16,81,-0.21193163
113,16,88,0.022510253
114,17,6,0.55023646
115,17,45,-0.19483498
116,17,73,-0.104281016
117,17,76,-0.07437017
118,17,105,0.3908361
119,17,123,-0.7023379
120,18,17,0.47440845
121,18,26,-0.59848505
122,18,77,0.64762473
123,18,97,0.22930232
124,18,108,0.067480095
125,18,120,-0.29324624
126,18,122,-0.023502188
127,19,24,-0.4402371
128,19,42,-0.5539322
129,19,51,0.3707116
130,19,119,0.3588164
131,20,15,-0.07375483
132,20,83,0.73069894
133,20,106,0.14185274
134,21,10,-0.39927378
135,21,18,0.04217614
136,21,36,-0.105666116
137,21,64,0.1690737
138,21,67,-0.16658175
139,21,94,-0.03399304
140,21,104,-0.09897018
141,22,0,-0.2990012
142,22,1,-0.1783221
143,22,22,-0.4642085
144,22,42,-0.31801602
145,22,71,-0.42500558
146,22,103,0.101836115
147,22,107,0.11409797
148,22,128,-0.45522982
149,23,2,0.045297056
150,23,5,0.673722
151,23,10,0.29742366
152,23,34,0.0015760674
153,23,41,0.1005312
154,23,60,0.15424146
155,23,65,-0.038599376
156,23,66,-0.1353518
157,23,125,-0.2940094
158,24,3,0.25023004
159,24,20,-0.22241755
160,24,55,-0.3627139
161,24,81,-0.09920948
162,24,119,-0.14946552
163,25,12,0.53683233
164,25,25,-0.014434836
165,25,26,0.6516041
166,25,47,-0.3503299
167,25,92,-0.13113543
168,26,7,-0.07393951
169,26,24,-0.50503445
170,26,33,0.60193884
171,26,43,0.14797722
172,26,62,-0.21147373
173,26,77,0.2418659
174,26,84,0.02052043
175,27,9,0.009831192
176,27,108,0.2360118
177,27,119,-0.0986865
178,28,12,-0.110226005
179,28,16,0.086887024
180,28,37,0.0063494863
181,28,51,1.0867099
182,28,52,-0.26484218
183,28,72,-0.01672949
184,28,75,-0.55499315
185,28,79,0.1701353
186,28,94,0.46130303
187,29,20,-0.12962882
188,29,70,-0.4794528
189,29,110,0.016822811
190,29,120,0.23771445
191,30,6,-1.0988761
192,30,15,-0.37823594
193,30,41,-0.4759183
194,30,62,-0.03719114
195,30,63,0.07208438
196,30,104,0.040644854
197,30,109,-0.3676389
198,30,116,0.18078808
199,30,119,-0.067275465
200,31,21,0.02635872
201,31,56,0.2948095
202,31,61,-0.42858556
203,31,70,-0.1703477
204,31,103,0.075662725
205,31,125,0.23642829
206,31,127,-0.09607552
207,32,38,-0.7180027
208,32,84,-0.24508177
209,33,2,0.37985048
210,33,7,0.2789348
211,33,69,0.094629996
212,33,74,0.07552942
213,33,105,-0.39012787
214,33,116,0.09715725
215,34,40,0.75726545
216,34,76,-0.5113741
217,34,81,0.32062376
218,34,110,-0.35257936
219,35,54,0.3281982
220,35,63,-0.39789563
221,35,80,0.693038
222,35,86,0.22117573
223,35,95,-0.0009005938
224,36,23,-0.6231194
225,36,25,-0.21953039
226,36,57,0.20653255
227,36,58,0.31791428
228,36,68,-0.06338917
229,36,89,0.049898505
230,36,95,0.40537164
231,36,97,-0.66153854
232,36,105,0.49535963
233,36,117,0.61302423
234,37,1,-0.43447044
235,37,30,1.0156689
236,37,34,0.4693096
237,37,58,-1.3402826
238,37,111,-0.09767529
239,37,112,0.0013060874
240,37,125,-0.37109548
241,38,17,0.104428954
242,38,71,-0.08918191
243,39,8,0.6029492
244,39,54,0.3186957
245,40,42,0.23109297
246,40,43,-1.3539577
247,40,101,-0.36248273
248,40,110,-0.18472254
249,40,115,-0.3447848
250,41,7,0.078719154
251,41,15,0.5181069
252,41,60,0.5496171
253,41,97,-0.3534253
254,41,126,-0.658363
255,42,43,0.3155321
256,42,113,0.28507993
257,43,28,-0.19997704
258,43,38,-0.15860513
259,43,66,0.32522133
260,43,120,-0.19461927
261,43,121,-0.17911738
262,44,75,-0.05853616
263,44,81,0.36674064
264,44,89,0.43102756
265,44,96,0.24816148
266,44,114,-0.8930248
267,45,60,0.38098302
268,45,63,-0.4769587
269,45,95,-0.5638328
270,45,128,-0.2639616
271,46,23,-0.070103124
272,46,78,-0.21222584
273,46,83,-0.923973
274,46,92,-0.29687026
275,46,103,0.2545038
276,46,114,-0.12589794
277,47,2,-0.50179243
278,47,4,0.26206264
279,47,6,0.27341637
280,47,14,0.049570255
281,47,28,-0.0769378
282,47,34,0.2786848
283,47,50,0.61563885
284,47,94,-0.39358902
285,47,98,-0.21463698
286,48,13,0.23403102
287,48,31,1.260721
288,48,47,-0.5405967
289,48,108,0.7138951
290,48,114,0.2790136
291,48,117,0.26166534
292,49,20,-0.13360603
293,49,71,0.5799068
294,49,72,0.28652808
295,49,86,0.29344144
296,50,27,0.5849145
297,50,42,-0.17004828
298,50,68,-0.082088575
299,50,76,0.3564112
300,50,130,0.9061458
301,51,14,0.41356742
302,51,23,-0.788661
303,51,28,-0.37696385
304,51,40,0.33894047
305,51,59,0.17611797
306,51,90,0.73167616
307,51,100,0.33027592
308,51,117,-0.36658832
309,52,21,0.34894216
310,52,36,-0.026390871
311,52,54,0.28994504
312,52,117,-0.013954714
313,52,126,-0.22100793
314,53,24,-0.5832602
315,53,32,-0.051221114
316,53,109,-0.8189065
317,54,24,0.26916668
318,54,91,-0.22672991
319,55,39,-0.37947568
320,55,75,0.10131178
321,55,92,-0.6855346
322,55,99,0.4250104
323,55,111,0.40309396
324,55,115,-0.56328887
325,56,23,0.022647219
326,56,42,-0.12140911
327,56,46,-0.054707278
328,56,80,-0.19093162
329,56,88,0.19324906
330,57,65,-0.11532232
331,57,76,-0.117632195
332,57,93,0.04214468
333,58,14,0.25589287
334,58,22,0.1462394
335,58,40,0.009630866
336,58,76,0.09438488
337,58,79,0.20156464
338,58,101,1.1190675
339,59,5,0.027127933
340,59,20,-0.41180208
341,59,24,-0.22824651
342,59,53,-0.027550368
343,59,58,-0.49151802
344,59,89,0.09589755
345,59,96,-0.0057994933
346,59,99,-0.029793032
347,59,106,-0.2157486
348,59,107,-0.12427168
349,59,109,0.49318078
350,60,11,-0.007829563
351,60,17,0.15904967
352,60,19,0.00043370127
353,60,21,-0.08781021
354,60,37,0.45983854
355,60,41,0.1646006
356,60,67,-0.40446618
357,60,73,0.471318
358,60,95,0.14573945
359,61,48,0.16482714
360,61,89,0.11057373
361,61,100,0.058449045
362,62,56,0.10162135
363,62,73,-0.083883815
364,62,81,-0.2276621
365,62,87,-0.15650588
366,63,60,-0.012560184
367,63,66,0.48688948
368,63,102,0.4303687
369,64,26,-0.93825644
370,64,73,0.031391207
371,64,98,-0.24520035
372,64,100,0.3427638
373,64,118,0.45291677
374,64,121,-0.29835168
375,64,122,0.21643445
376,65,11,-0.13235424
377,65,17,-0.03961005
378,65,24,1.0290078
379,65,27,0.10500408
380,65,40,0.38641736
381,65,68,-0.27249306
382,65,76,-0.020482434
383,65,86,0.1215844
384,65,98,-0.037801694
385,65,120,0.28769737
386,66,20,0.11243054
387,66,46,0.902934
388,66,68,0.08679462
389,66,69,0.058306757
390,66,76,0.17991437
391,66,86,-0.13705076
392,67,36,0.064268574
393,67,37,-0.6624775
394,67,42,0.05302866
395,67,44,0.07102887
396,67,88,-0.06805945
397,67,92,-0.6772754
398,67,111,-0.2171571
399,67,114,0.33488768
400,68,4,-0.033130232
401,68,46,-0.5691285
402,68,57,-0.1035841
403,68,73,-0.16226678
404,68,114,0.2359382
405,68,123,-0.07962197
406,69,0,0.20970373
407,69,25,-0.16225553
408,69,36,-0.24790533
409,69,56,0.15787797
410,69,69,-0.2979985
411,69,75,-0.2537387
412,69,108,-0.4148532
413,69,111,0.6664331
414,69,118,-0.07250535
415,70,14,-0.03211719
416,70,26,0.19471832
417,70,43,-0.09999696
418,70,72,0.30442134
419,70,78,-0.33146796
420,70,84,-1.3694047
421,70,86,0.06945697
422,70,91,0.023739295
423,70,108,-0.112383455
424,71,13,0.1108615
425,71,18,-0.103853405
426,71,19,0.08381593
427,71,32,-0.7796164
428,71,57,-0.24399006
429,71,66,-0.034058075
430,71,81,-0.054281067
431,71,121,0.6027929
432,71,123,-0.5216236
433,72,12,0.41964704
434,72,13,-0.5734543
435,72,29,-0.09097465
436,72,63,-0.17398663
437,72,64,0.037404697
438,72,77,0.5264316
439,72,96,0.0200968
440,72,100,0.16533662
441,72,113,0.80746883
442,72,128,0.26426765
443,73,8,-0.14452143
444,73,23,-0.37298477
445,73,25,0.11963192
446,73,31,-0.07436514
447,73,41,0.17504576
448,73,76,0.27837196
449,73,78,0.36765224
450,73,84,0.8671085
451,74,21,-0.39757016
452,74,49,0.365696
453,74,65,-0.3645367
454,74,99,-0.3254247
455,74,115,-0.37997767
456,75,5,-0.32233006
457,75,13,-0.08812604
458,75,14,0.083437294
459,75,46,-0.3470589
460,75,60,0.26711452
461,75,77,-0.35332364
462,75,81,-0.29518935
463,75,84,-0.30650523
464,75,89,0.065190464
465,75,98,-0.62376016
466,75,124,-0.92429894
467,76,12,0.42061672
468,76,13,0.3812149
469,76,77,0.00896783
470,76,104,0.34614846
471,77,4,0.45663813
472,77,17,0.18613654
473,77,74,-0.02667753
474,77,88,0.35682377
475,78,66,-0.42089754
476,78,71,0.05169751
477,78,80,-0.62711954
478,78,104,0.44994798
479,78,114,0.121061966
480,79,47,0.5659966
481,79,51,-0.6790988
482,79,122,-0.15763083
483,80,12,-0.5911815
484,80,16,-0.077751905
485,80,41,0.10727781
486,80,53,-0.0891091
487,80,67,-0.46245202
488,80,70,0.26268807
489,80,102,-0.81534916
490,80,124,0.22026311
491,81,48,0.10285749
492,81,76,0.06696988
493,81,97,-0.011828343
494,81,108,0.43213293
495,82,9,-0.56367177
496,82,11,-0.12647673
497,82,31,-0.21644302
498,82,34,0.36866245
499,82,51,0.105680004
500,82,61,0.09276427
501,82,70,0.6840281
502,82,85,0.58956254
503,82,122,-0.24838388
504,83,13,0.051352005
505,83,25,-0.16771583
506,83,35,0.86183363
507,83,40,0.10652449
508,83,59,-0.09004152
509,83,72,-0.39045396
510,83,80,0.3798709
511,83,81,-0.048977852
512,83,86,-0.1357885
513,84,9,0.6167922
514,84,87,0.3092901
515,84,88,0.42726555
516,84,114,0.14941077
517,84,123,0.028550807
518,85,18,0.051844634
519,85,55,0.33458048
520,85,60,-0.7253998
521,86,26,-0.22351877
522,86,94,-0.5986514
523,86,95,0.13571787
524,86,98,-0.29977193
525,86,105,0.16646206
526,86,114,0.19793276
527,87,15,0.34875038
528,87,25,0.36203814
529,87,82,0.31078875
530,87,121,0.14170264
