Id,Source,Target,Weight
0,0,13,0.2514535
1,0,55,-0.3287808
2,0,110,-0.33207667
3,0,111,-0.40788975
4,0,118,0.20270446
5,0,124,-0.791372
6,1,19,0.90952545
7,1,20,0.2530913
8,1,23,0.03915804
9,1,30,-0.06463904
10,1,66,0.38901913
11,2,2,0.5151574
12,2,30,-0.5242405
13,2,42,0.98709446
14,2,55,0.123836346
15,2,61,-0.1058344
16,2,64,0.24005453
17,2,85,-0.8321304
18,2,86,0.14680766
19,2,89,0.77483004
20,2,114,-0.4512792
21,2,117,0.09584389
22,2,118,-0.3751095
23,3,19,-0.008456327
24,3,39,-0.14286953
25,3,40,0.56295615
26,3,48,-0.06888371
27,3,56,0.066420764
28,3,83,0.29541016
29,3,97,-0.54276896
30,3,100,-0.289151
31,3,128,0.44309488
32,4,2,0.30573478
33,4,11,-0.15348794
34,4,60,-0.123530604
35,4,100,-0.42244378
36,4,104,-0.32794893
37,4,119,0.029383544
38,5,6,-0.2859893
39,5,7,-0.13796492
40,5,79,0.0005405503
41,5,93,-0.4225364
42,5,96,0.06887303
43,6,35,0.05636708
44,7,14,-0.1223453
45,7,15,-0.1577819
46,7,28,-0.13428248
47,7,62,-0.2790745
48,7,66,-0.0038183166
49,7,89,-0.20796016
50,7,108,0.06356868
51,8,10,0.054865487
52,8,20,0.1836235
53,8,51,0.2962681
54,8,60,-0.040792048
55,8,68,0.22295232
56,8,117,0.63038296
57,9,35,0.13095644
58,9,63,-0.54320544
59,10,6,-0.105501965
60,10,45,-0.013606147
61,10,56,0.7532474
62,10,63,-0.13426423
63,10,68,-0.34015697
64,10,96,0.04565262
65,10,128,-0.0118443975
66,11,10,0.22760403
67,11,18,-0.35067257
68,11,22,-0.02393049
69,11,38,0.007854392
70,11,42,-0.20293613
71,11,86,-0.047658663
72,11,110,-0.17295483
73,12,61,0.6394018
74,12,75,0.3108825
75,12,78,0.18923676
76,12,82,-0.11480255
77,12,89,0.24665211
78,12,105,-0.546182
79,12,111,-0.020148631
