Id,Source,Target,Weight
0,0,16,-0.52281874
1,0,35,-0.016330805
2,0,69,-1.1930757
3,0,95,-0.014941778
4,0,116,0.25884497
5,1,5,-0.84295714
6,1,36,0.709064
7,1,39,-0.8732965
8,1,67,1.6117059
9,1,68,-0.37789094
10,1,103,-0.29807618
11,1,125,0.4391102
12,2,2,0.654042
13,2,34,0.7020442
14,2,71,-0.9980246
15,2,84,0.37234375
16,2,120,0.60706604
17,3,72,1.7534199
18,3,79,-1.3739026
19,3,91,-0.6726236
20,3,92,-0.25774544
21,3,93,-1.1526784
22,3,104,-1.0687913
23,4,52,0.028651915
24,4,64,0.38554358
25,4,87,-0.8583968
26,4,95,-0.71661556
27,4,104,0.57873
28,4,106,0.6966546
29,4,110,-0.4748548
30,5,1,1.0588577
31,5,6,0.6237488
32,5,20,-0.46583992
33,5,31,-0.5824643
34,5,43,-0.19350392
35,5,92,0.35773674
36,6,2,0.43890473
37,6,3,-0.9469284
38,6,11,-1.0999238
39,6,34,1.5291626
40,6,37,-1.081207
41,7,39,-0.9000156
42,7,46,-0.014102123
43,7,55,0.012525498
44,7,90,-0.60307544
45,7,107,0.6120575
46,7,121,-1.8301655
47,8,28,0.550851
48,8,69,0.6581973
49,8,82,0.41049892
50,8,115,0.9212045
51,9,61,1.2704788
52,9,81,-0.25623167
53,10,2,-1.5301737
54,10,93,0.7994199
55,10,109,0.062413
56,10,116,0.65139806
57,11,38,1.4527087
58,11,71,1.4084756
59,11,79,1.0063593
60,11,83,-0.45357436
61,11,103,0.8310226
62,12,0,-1.1813883
63,12,78,-0.43253088
64,12,91,1.2189368
65,12,92,2.7372072
66,12,123,-0.79249567
67,13,85,-1.1870315
68,13,109,-0.69707155
69,13,126,0.26302695
70,14,7,1.7120926
71,14,42,-0.7216924
72,14,52,-1.9322822
73,14,64,1.5606849
74,14,97,0.1921306
75,14,110,0.87335205
76,14,130,0.02495113
77,15,9,0.72689104
78,15,57,0.62986815
79,15,103,-1.7521485
80,15,104,1.462547
81,15,116,0.009243087
82,15,128,-1.5029991
83,16,3,-0.71017087
84,16,12,0.5635681
85,16,38,-0.8387078
86,16,126,-1.7176497
87,17,8,1.1173884
88,17,17,1.191434
89,17,27,0.58527553
90,17,96,1.4235529
91,17,128,-0.2825126
92,18,12,0.72078717
93,18,41,-1.3402916
94,18,68,-0.43054503
95,18,69,1.4553078
96,18,76,-0.20701408
97,19,5,-0.6021797
98,19,29,0.30928963
99,19,50,0.7581151
100,19,56,0.2864348
101,19,59,0.026549967
102,19,91,0.3604487
103,19,127,-0.01135989
104,19,130,1.2903051
105,20,11,-0.3208863
106,20,24,0.0011529485
107,20,64,0.39867777
108,20,79,2.2548683
109,20,91,-0.032699924
110,20,101,0.7013374
111,21,2,0.23374653
112,21,6,-1.0552281
113,21,30,-0.22191127
114,21,38,1.5731069
115,21,42,0.18986261
116,21,83,-0.7239323
117,21,118,-1.4844087
118,22,13,0.4470516
119,22,23,-0.14544821
120,22,56,1.1075902
121,22,74,-1.6157856
122,22,81,-1.0909823
123,22,99,-0.25536934
124,22,101,-0.00090625964
125,23,7,-0.60486686
126,23,43,0.43323025
127,23,95,1.5177838
128,23,102,-0.7156171
129,23,105,0.0011575446
130,23,115,-0.2761355
131,24,30,1.2612721
132,24,47,-0.8784719
133,24,52,1.3791661
134,24,92,-0.46287352
135,24,99,1.2222859
136,24,102,-1.1153653
137,25,7,1.4683274
138,25,12,-1.9024235
139,25,74,1.0653648
140,25,88,-1.2761168
141,25,96,-0.0024199928
142,25,101,1.1022866
143,27,8,1.7337921
144,27,12,-0.19247343
145,27,50,0.026966633
146,27,96,1.5290028
147,27,99,-1.5901345
148,27,109,-0.008664595
149,28,0,0.5088958
150,28,21,-1.2298672
151,28,55,0.8604227
152,28,60,-0.009633397
153,29,26,-2.3151786
154,29,30,0.18800111
155,29,81,-0.37946826
156,29,126,-1.1673042
157,29,130,1.837126
158,30,2,2.5541701
159,30,8,0.433013
160,30,9,1.0220581
161,30,30,1.2903386
162,30,63,-0.8967204
163,30,71,1.4959852
164,30,97,0.046928547
165,30,118,-0.062740855
166,30,125,-0.0026805813
167,31,22,0.030080473
168,31,53,-1.0860014
169,31,54,-0.35850495
170,31,63,0.7162134
171,31,82,-0.48462322
172,31,83,-0.015034817
173,31,107,-1.9946371
174,31,116,0.7005921
175,31,129,-0.2501284
176,32,24,-1.1352111
177,32,25,-1.949613
178,32,46,1.3591543
179,32,68,-0.54458785
180,32,115,1.0223613
181,32,118,-0.70499295
182,33,7,0.20588413
183,33,33,1.5951587
184,33,54,0.5060088
185,33,83,-0.51112205
186,33,116,0.39472833
187,34,2,0.76303256
188,34,43,0.45137063
189,34,53,-0.8223826
190,34,62,0.49290493
191,34,96,-0.43160737
192,34,107,-0.8639639
193,34,110,-1.4199903
194,34,111,0.23433712
195,34,124,-1.6040388
196,34,126,-0.009678174
197,35,7,-1.6069075
198,35,9,-1.6751549
199,35,20,0.976497
200,35,87,-0.593566
201,35,112,-0.015579691
202,36,65,-0.30443895
203,36,73,-0.75900257
204,36,77,-0.9059072
205,36,93,0.79722637
206,36,104,-1.5040362
207,36,110,-1.5162855
208,37,11,-1.0689132
209,37,38,-0.5834453
210,37,78,0.9429366
211,38,13,-0.3864741
212,38,16,-1.7135847
213,38,51,0.20854944
214,38,60,0.15978225
215,38,102,0.40649405
216,38,118,0.017452613
217,39,13,-2.1994593
218,39,100,0.60797995
219,39,127,-0.9434431
220,40,25,-0.9338828
221,40,79,-1.8492349
222,40,81,1.6027595
223,40,97,-0.7105241
224,40,100,0.57748747
225,40,104,0.70803094
226,40,107,-0.5144337
227,40,117,1.1800472
228,40,122,0.34076053
229,40,129,-0.34000176
230,41,1,1.4213321
231,41,18,-0.34033653
232,41,20,-0.1969761
233,41,69,-0.5307575
234,42,88,-0.75324273
235,42,99,-0.20616375
236,42,109,-1.3858294
237,42,120,-2.3245203
238,43,57,-0.8180275
239,43,119,0.028187953
240,44,12,-0.6879293
241,44,75,-1.5528601
242,44,81,1.0696266
243,45,6,-1.5225526
244,45,21,-0.58035755
245,45,23,-0.4442381
246,45,37,0.7391091
247,45,51,0.7609881
248,45,80,1.5518295
249,45,84,1.9533414
250,45,94,1.7070467
251,45,107,0.22143213
252,46,11,-1.0503243
253,46,43,-0.5831527
254,46,46,2.0786798
255,46,71,1.457753
256,46,116,1.1093563
257,47,0,0.5683964
258,47,16,-0.91743815
259,47,30,-0.03221535
260,48,8,-0.19547531
261,48,28,0.7032556
262,48,34,0.49218255
263,48,37,1.7136141
264,48,89,1.0173074
265,48,92,-0.84247345
266,48,124,0.85494214
267,49,5,0.21943115
268,49,27,-0.9963784
269,49,43,0.8299481
270,49,55,-0.6269043
271,49,58,0.6830532
272,49,74,0.5714443
273,49,77,-0.7272213
274,49,99,-1.2561824
275,49,126,0.30518034
276,50,10,0.73037565
277,50,62,-0.014832998
278,50,92,0.5849979
279,50,97,2.325639
280,50,116,-0.51778233
281,50,123,-2.2378068
282,51,9,0.011992339
283,51,40,-0.17936
284,51,45,1.6456347
285,51,58,1.0406384
286,51,72,2.377764
287,52,20,-1.6336457
288,52,52,-0.66011834
289,52,76,-0.5435831
290,52,121,0.0005978192
291,52,129,-0.010032592
292,53,14,-0.7299709
293,53,65,-1.2119733
294,53,70,2.4184034
295,53,76,-0.90493524
296,53,81,-0.79970616
297,54,0,0.7539988
298,54,30,-0.72685844
299,54,63,0.7052197
300,54,65,-0.6859295
301,54,69,0.4185372
302,54,70,-1.1319413
303,54,88,1.7110484
304,54,119,2.0148995
305,55,31,-0.9279794
306,55,34,-0.38846636
307,55,64,0.4658066
308,55,80,1.3142444
309,55,85,1.3697515
310,55,101,-0.56714475
311,55,119,-0.553883
312,56,10,1.7904742
313,56,11,0.29570588
314,56,17,0.51489264
315,56,24,-1.5176677
316,56,26,0.015561823
317,56,27,-0.34069955
318,56,47,0.5314118
319,56,63,-1.4338845
320,56,91,0.681949
321,56,98,0.44457924
322,56,103,0.69237334
323,57,40,0.41086003
324,57,78,-1.0261356
325,57,84,-0.51168084
326,57,93,-0.5169155
327,57,116,-0.8012776
328,57,125,-0.7810593
329,57,129,-2.4678948
330,58,4,-0.6133859
331,58,18,0.168178
332,58,42,0.5824721
333,58,70,0.1784446
334,58,89,-0.009772603
335,58,95,-0.40541354
336,58,96,-0.20132107
337,59,5,-0.5435641
338,59,17,1.4330642
339,59,46,-0.6291163
340,60,11,-0.0035507595
341,60,130,0.61825514
342,61,11,-0.573902
343,61,16,0.62833357
344,61,17,-0.7360604
345,61,40,-0.2897143
346,62,16,-0.3310485
347,62,30,0.40321818
348,62,129,0.64993334
349,63,64,0.6479439
350,63,96,-0.1985199
351,63,103,-0.17411225
352,64,28,0.5165405
353,64,45,0.26571035
354,64,56,-0.0011930602
355,64,74,0.018083237
356,64,77,-0.3767566
357,65,13,0.40170947
358,65,19,-2.2569294
359,65,33,0.39091268
360,65,50,-0.88334054
361,65,56,-1.066166
362,65,74,-0.2524984
363,65,86,-0.478025
364,66,2,0.42056438
365,66,6,-0.50437397
366,66,7,0.03174846
367,66,49,-0.33836967
368,66,64,-0.47956645
369,66,110,-0.024359073
370,67,6,0.004849745
371,67,46,0.4451683
372,67,91,2.7417889
373,67,109,1.4992228
374,68,8,-1.1694249
375,68,32,-0.012238266
376,68,46,0.6218528
377,68,74,0.538272
378,68,83,-0.2513024
379,68,89,-0.3788083
380,68,106,0.86423737
381,68,113,-0.75974566
382,69,27,0.6941785
383,69,59,-1.7478069
384,69,66,-0.3272889
385,69,70,-0.25521988
386,69,83,0.7754829
387,69,101,0.18954267
388,69,113,-0.23083273
389,70,26,1.5293928
390,70,40,0.66828406
391,70,70,1.4347771
392,70,83,0.7506273
393,70,129,-0.23263624
394,71,26,1.1750133
395,71,63,-0.69836146
396,71,71,0.78952366
397,71,76,-1.8956707
398,71,79,-0.76714164
399,71,87,-0.0038931372
400,71,92,-0.0029806385
401,71,100,1.0839274
402,71,106,1.2965894
403,71,118,-0.69396657
404,72,10,0.005686823
405,72,12,-0.82349706
406,72,22,0.025091745
407,72,29,1.1021081
408,72,74,-0.42771488
409,72,77,0.5043903
410,72,104,1.3451824
411,72,117,0.5206671
412,73,39,-0.5302742
413,73,57,-1.042883
414,73,102,0.44664755
415,74,21,-1.7470201
416,74,38,0.008054386
417,74,74,2.3671043
418,74,91,1.2707435
419,74,106,0.010041876
420,75,4,-0.7529752
421,75,91,0.5624209
422,75,92,0.13403428
423,75,98,0.99474436
424,75,117,0.0057050195
425,76,20,0.9462036
426,76,21,-0.29153746
427,76,54,0.7754281
428,76,62,-0.016835056
429,76,63,0.5345054
430,76,86,-1.697812
431,76,119,-0.9166845
432,77,83,-0.30212492
433,77,86,-0.7988789
434,78,67,-0.66400135
435,78,68,1.090917
436,78,86,-0.49683827
437,79,10,-0.5206427
438,79,16,-0.93815684
439,79,40,-1.9401538
440,79,47,1.4810059
441,79,75,0.5818918
442,79,87,0.024552628
443,79,94,0.45907885
444,79,95,-0.007154921
445,80,4,-1.4240743
446,80,68,0.758137
447,80,78,2.5346138
448,80,102,-0.6803704
449,80,111,-0.23053671
450,80,120,-1.6504513
451,81,6,-0.60960686
452,81,35,0.10146462
453,81,66,0.8891771
454,81,83,-0.15997276
455,82,3,0.51079625
456,82,60,-1.1932658
457,82,115,0.0053301807
458,83,8,-0.012862797
459,83,52,-0.8070311
460,83,58,-2.1342144
461,83,87,-1.1427828
462,83,99,-0.48141232
463,83,107,-0.17213918
464,84,39,0.20080683
465,84,55,-1.2068433
466,84,75,0.91836864
467,84,118,-0.21392637
468,84,128,0.21179007
469,85,23,0.494645
470,85,64,-0.17157933
471,85,71,-0.34312376
472,85,79,-0.6934794
473,86,52,-1.003977
474,86,53,-0.6009517
475,86,69,0.16697687
476,86,87,1.1297846
477,86,96,-0.551337
478,86,113,0.89688313
479,87,12,0.5987476
480,87,48,-0.5810983
481,87,56,-0.9409739
482,87,65,1.1634699
483,87,67,1.0321405
484,87,75,1.1642026
485,88,0,0.96014607
486,88,17,0.29904392
487,88,43,0.32081568
488,88,54,0.008913563
489,88,79,0.59174865
490,88,94,0.0007305207
491,88,100,1.1829971
492,88,123,-0.0019222971
493,89,101,1.232496
494,89,108,0.35032588
495,90,15,0.6749969
496,90,26,-1.0147843
497,90,29,-1.1498377
498,90,96,-0.47392604
499,90,101,-0.019095004
500,91,0,-0.98345387
501,91,18,7.5660064e-05
502,91,28,0.57173866
503,91,37,0.8254553
504,91,49,-0.14142351
505,91,55,1.1384246
506,91,112,-0.82972157
507,92,69,1.0407529
508,92,71,0.44631296
509,92,81,0.022815704
510,93,19,0.33958367
511,93,26,1.110565
512,93,76,-1.2152573
513,93,94,-0.63884145
514,93,95,-0.08004672
515,94,10,0.023631025
516,94,31,-0.8562451
517,94,36,1.0004431
518,94,46,0.021278514
