Id,Source,Target,Weight
0,0,14,0.40163758
1,0,32,0.0660767
2,0,36,-0.061244916
3,0,40,-0.38225102
4,0,43,0.030682663
5,0,116,-0.5834468
6,0,121,0.67836463
7,0,127,0.65030414
8,1,19,0.006676174
9,1,30,-0.33366224
10,1,33,0.21538
11,1,63,-0.30218947
12,1,91,0.27213222
13,1,128,0.5595947
14,1,130,-1.03077
15,2,1,-0.40655482
16,2,39,-0.029983778
17,2,48,1.1208158
18,2,57,-0.06335881
19,2,58,-0.3611386
20,2,67,-1.1576188
21,2,77,0.35255265
22,2,98,0.14508142
23,2,127,0.0016352306
24,3,2,0.000814433
25,3,34,-1.1979308
26,3,37,0.7942571
27,3,53,0.19471356
28,3,55,0.65839046
29,3,58,-0.027984584
30,3,67,-0.8569519
31,3,86,0.13512124
32,3,123,-0.085748635
33,3,125,0.0061628306
34,3,126,-0.0031166598
35,4,21,0.21503276
36,4,33,0.109838605
37,4,49,-0.028279684
38,4,59,-0.15024433
39,4,64,0.5230217
40,4,81,0.50474036
41,4,103,0.63426197
42,4,118,-0.07088032
43,5,6,-0.3391232
44,5,11,0.06806505
45,5,35,0.08875087
46,5,38,0.037964676
47,5,54,0.009914471
48,5,59,-0.076804265
49,5,67,-0.017350135
50,5,75,-1.4721361
51,5,82,-1.4374688
52,6,105,-0.004046112
53,7,1,-0.42521578
54,7,9,0.14035627
55,7,24,-1.1918516
56,7,102,0.23914453
57,8,4,0.014065501
58,8,19,0.012207267
59,8,33,-0.5615814
60,8,50,0.49733275
61,8,69,-0.025576929
62,9,14,-0.48535916
63,9,42,0.0067879604
64,9,51,-0.95025057
65,9,59,-0.035972375
66,9,71,-0.11183211
67,9,76,-0.92388
68,9,89,0.8546238
69,9,97,-0.16772522
70,10,17,1.0388527
71,10,63,-0.0074424394
72,10,96,-0.5035981
73,10,118,-0.18966223
74,11,40,0.0037873639
75,11,72,-0.7099648
76,11,126,-0.12668416
77,12,11,0.55738944
78,12,52,-0.34770578
79,12,68,-0.029234707
80,12,75,-0.080815576
81,12,76,-0.6394266
82,12,91,0.02141306
83,12,101,-0.22156285
84,12,120,0.040014762
85,13,12,-0.30528265
86,13,27,-0.45394394
87,13,71,-0.40944606
88,13,89,0.01004342
89,13,97,-0.5556366
90,13,103,0.14900754
91,14,11,0.9232714
92,14,29,0.26118028
93,14,32,0.007538548
94,14,54,-0.48654786
95,14,115,0.5304194
96,14,124,0.78153855
97,15,19,-0.5001989
98,15,24,-0.0024837179
99,15,33,0.79269993
100,15,35,0.98731285
101,15,69,0.037499323
102,15,87,-0.24565098
103,15,91,0.16934289
104,15,92,0.2843643
105,15,109,0.10395687
106,16,26,-0.18804912
107,16,39,0.35355002
108,16,83,0.40080112
109,16,117,1.1525193
110,17,12,-0.16780679
111,17,18,0.6502842
112,17,30,0.2501892
113,17,50,-0.29308426
114,17,56,-0.8369905
115,17,57,0.051285207
116,17,64,0.49196962
117,17,125,-0.09036608
118,17,130,0.056654755
119,18,52,1.6801337
120,19,7,-0.15243483
121,19,23,0.2621573
122,19,38,0.12887606
123,19,46,-1.4387014
124,19,63,-0.034764916
125,20,6,0.48981965
126,20,71,0.32092854
127,20,78,0.0007585983
128,20,109,-0.08151736
129,20,117,-0.275327
130,21,10,0.33822018
131,21,44,0.4544625
132,21,78,-1.3515416
133,21,107,-0.48588702
134,21,117,-0.26823246
135,21,118,-0.450343
136,22,20,0.24564517
137,22,44,-0.08156314
138,22,75,-0.38356176
139,22,101,0.22761987
140,23,22,-0.016927814
141,23,28,0.08823202
142,23,59,0.52406013
143,23,63,-0.60216516
144,23,113,0.037313737
145,24,9,-0.24585944
146,24,28,0.030481616
147,24,62,0.5590733
148,24,81,0.011265576
149,24,96,0.6624509
150,24,101,0.79190624
151,24,113,-0.20688029
152,24,115,-0.009860368
153,24,117,0.066158004
154,25,16,0.12178382
155,25,28,0.0036828623
156,25,30,-0.32941705
157,25,59,0.24510674
158,25,73,0.4681539
159,25,81,0.31227615
160,25,92,0.3753111
161,25,107,-0.91108555
162,25,128,0.040567905
163,26,64,0.1097372
164,26,117,-1.026612
165,26,119,-0.011927055
166,26,130,0.70102036
167,27,47,-0.014530299
168,27,55,-0.029312283
169,27,60,0.0052520763
170,27,104,0.17460525
171,27,121,-0.07113508
172,27,129,0.3018351
173,28,4,-0.1603078
174,28,10,-0.2664505
175,28,12,0.04877745
176,28,20,0.014036166
177,28,46,0.6691951
178,28,58,-0.1797101
179,28,77,-0.27406645
180,28,99,0.7543988
181,28,108,-0.0043234536
182,29,0,0.5059607
183,29,6,0.010240236
184,29,9,0.04074839
185,29,16,0.026850166
186,29,52,0.3389481
187,29,59,-0.0025899939
188,29,80,-0.588292
189,29,127,0.83512765
190,30,13,0.0012337826
191,30,31,-0.38391384
192,30,45,-0.1102241
193,30,49,-0.0054125413
194,30,86,-0.88196725
195,30,119,0.19537298
196,30,125,0.13791464
197,31,26,0.008133014
198,31,116,0.18430087
199,32,14,-0.13735801
200,32,20,-0.016412303
201,32,22,-0.8275822
202,32,43,-0.0028026053
203,32,91,-0.24604438
204,32,125,-0.9821602
205,32,130,0.13614452
206,33,6,-0.072644904
207,33,8,-0.14123566
208,33,15,0.3080416
209,33,20,0.24696083
210,33,21,0.73945713
211,33,28,0.14550833
212,33,71,-0.3289257
213,33,98,-0.3333477
214,33,101,1.3337278
215,33,128,0.36048308
216,34,37,0.7604631
217,34,68,-0.14172365
218,34,94,-0.5960549
219,34,97,-0.0023641498
220,35,7,-1.0598189
221,35,9,-0.6867497
222,35,20,0.50974435
223,35,41,-0.26647696
224,36,13,0.050378732
225,36,42,0.02336151
226,36,52,1.1526498
227,36,70,1.5125829
228,36,96,-0.4536862
229,37,11,0.8068513
230,37,16,0.011559093
231,37,28,0.58276933
232,37,30,-0.021918831
233,37,48,0.29672053
234,37,90,0.6910825
235,37,95,0.7060882
236,37,103,0.52982736
237,37,113,0.3144651
238,37,119,-0.014677999
239,38,3,0.6114914
240,38,11,-0.786603
241,38,16,-0.30544925
242,38,31,0.43618268
243,38,43,0.16298875
244,38,56,-0.20906228
245,38,65,-0.29143137
246,38,72,0.06669929
247,38,97,0.32709977
248,38,102,0.5044695
249,38,123,-0.022176791
250,38,127,0.6191639
251,39,37,-1.0951077
252,39,58,-0.1176769
253,39,83,1.4385608
254,39,107,-0.2390817
255,39,119,0.027077159
256,39,128,0.5369569
257,40,13,0.35710242
258,40,18,0.20434862
