Id,Source,Target,Weight
0,0,64,2.3186915
1,0,72,0.6431698
2,0,79,1.4225899
3,1,7,-0.9567067
4,1,27,1.3226198
5,1,74,-0.23885556
6,1,90,0.036076657
7,1,116,1.0568879
8,2,16,-0.022764113
9,2,20,1.116968
10,2,22,0.13306603
11,2,75,-1.6885161
12,2,105,-1.2173482
13,3,42,-0.21428487
14,3,46,1.6333684
15,3,47,0.67826295
16,3,108,-0.89329755
17,4,24,0.017344892
18,4,34,-0.0057475325
19,4,48,0.21197096
20,4,64,-0.90610516
21,4,65,-1.1840158
22,4,85,-1.6711107
23,4,94,-0.7818966
24,4,117,-0.0030446877
25,4,119,0.19139
26,4,123,2.2388167
27,5,27,0.72000426
28,5,35,-0.82259
29,5,45,-1.6277074
30,5,47,-0.7145292
31,5,122,-1.3818538
32,6,18,-0.99655414
33,6,35,0.5309258
34,6,88,-2.123373
35,6,104,-0.9371478
36,7,40,0.15931198
37,7,46,-0.66440386
38,7,65,-0.838098
39,7,90,-2.1028757
40,7,98,-0.72679245
41,8,48,0.30240119
42,8,73,0.753841
43,8,96,-2.7213836
44,9,40,-1.9190029
45,9,50,0.86599505
46,9,85,0.74482274
47,10,21,1.1320436
48,10,42,1.7964716
49,10,55,-0.5472309
50,10,68,0.7830512
51,10,99,-0.0063504777
52,10,123,0.0037987647
53,11,7,-0.9241045
54,11,23,-0.5463439
55,11,27,-0.02564942
56,11,28,-0.019451499
57,11,64,0.18671612
58,11,71,-0.63372046
59,11,85,-0.9933391
60,12,15,0.83498204
61,12,24,-0.94285196
62,12,60,0.018252846
63,12,82,-0.33036643
64,12,85,-0.7673202
65,12,112,-0.68045336
66,13,91,0.2739282
67,13,102,0.6326495
68,13,117,-0.2505924
69,14,19,-0.030306803
70,14,24,-0.02808991
71,14,46,-0.010762171
72,14,57,0.0059669116
73,14,70,-1.4799892
74,14,115,0.037695855
75,14,121,1.3350282
76,15,1,-1.0168678
77,15,25,0.65928644
78,15,75,0.69365066
79,15,80,2.9170525
80,15,81,-0.6204851
81,15,93,-0.9173085
82,16,4,-0.3322757
83,16,13,0.76610523
84,16,26,-0.52997696
85,16,64,-1.36048
86,16,78,-0.27770296
87,17,7,-1.1162363
88,17,21,0.5893245
89,17,93,0.2279087
90,17,102,0.5014656
91,17,124,0.034441788
92,18,5,1.0040355
93,18,94,0.8658083
94,19,17,0.13111785
95,19,106,-0.8809456
96,20,3,-0.019349802
97,20,16,0.59728
98,20,33,1.5251296
99,20,55,-0.525454
100,20,65,-1.7954865
101,20,74,-4.065627
102,20,76,1.5727743
103,21,3,0.38120547
104,21,48,-0.25054318
105,21,95,-0.67887026
106,21,101,-2.1220987
107,21,118,0.5876463
108,21,127,0.7516515
109,22,14,0.7376168
110,22,25,-1.1025236
111,22,55,-0.7454658
112,22,85,1.495258
113,22,125,0.53673416
114,23,10,-0.9384243
115,23,29,-1.1792116
116,23,79,0.016897688
117,23,105,-0.33903074
118,24,25,-0.22656606
119,24,70,-0.37005052
120,24,86,1.0294751
121,24,102,0.016401118
122,25,2,-0.53223675
123,25,30,-2.4237807
124,25,40,-0.3447155
125,25,74,0.6196641
126,25,78,0.59399194
127,25,97,1.922409
128,25,113,1.7230893
129,25,118,-0.65745
130,25,126,-2.0665357
131,26,27,-1.5475091
132,26,36,-0.89520717
133,26,38,-0.061362516
134,26,56,0.7672401
135,26,79,-2.0694945
136,26,81,-0.6926883
137,26,84,0.7416765
138,26,96,0.7746757
139,26,123,0.389695
140,27,22,-0.0146791
141,27,27,0.4466787
142,27,34,-2.9223335
143,27,35,-0.27930802
144,27,72,-1.4227612
145,27,96,0.019461427
146,27,99,2.181599
147,27,113,0.68687564
148,28,25,-0.010604145
149,28,46,-0.7423928
150,28,54,-0.4365266
151,28,85,0.7525319
152,28,100,0.41346112
153,29,4,0.7272197
154,29,12,1.8820188
155,29,45,-0.7498139
156,29,56,-0.64865303
157,29,61,1.2985046
158,29,77,0.039912544
159,29,111,-1.1890609
160,30,21,1.415831
161,30,35,0.017881699
162,30,43,-0.9039008
163,30,49,0.76941377
164,30,107,0.96756834
165,30,111,-1.0559113
166,30,118,-0.31468248
167,30,123,0.63127583
168,31,16,-0.75608367
169,31,19,0.53466046
170,31,59,1.0150635
171,31,73,0.28917944
172,31,74,0.7060305
173,31,91,-0.6695347
174,31,107,-1.7811679
175,31,110,-0.007541356
176,31,122,0.010960978
177,31,127,0.017367752
178,31,130,1.4231296
179,32,3,1.7557898
180,32,17,-1.7120702
181,32,46,-0.60098416
182,32,51,-1.0475566
183,32,69,-0.02237963
184,32,87,-0.34563693
185,32,89,0.648163
186,32,110,1.5843544
187,33,26,-1.8594918
188,33,38,1.2783179
189,33,41,-0.7859495
190,34,23,0.88019556
191,34,26,1.0760051
192,34,71,-0.5215246
193,34,112,1.7093298
194,34,113,-0.5457156
195,35,14,-0.7311983
196,35,34,0.0067719985
197,35,35,0.043639123
198,35,77,-1.790425
199,35,98,-0.013277213
200,35,108,-0.8967883
201,35,120,-1.173265
202,36,9,-0.75409174
203,36,40,0.52264875
204,36,45,-1.7670717
205,36,114,1.0204955
206,37,0,-1.4865881
207,37,28,0.7267476
208,37,74,0.5083095
209,37,94,-1.0462937
210,38,15,-0.0019134064
211,38,18,-0.008820737
212,38,34,0.0025751377
213,38,122,0.7650479
214,38,125,-0.016972777
215,38,130,-0.85273814
216,39,27,-0.020972544
217,39,30,-0.39427882
218,39,125,-1.8544683
219,40,0,1.7827827
220,40,16,-0.4838785
221,40,26,-0.021083435
222,40,37,1.1746073
223,40,46,-0.634356
224,40,51,0.46966857
225,40,92,-0.9230326
226,40,100,-0.45427385
227,40,105,-0.02172129
228,40,120,1.7103286
229,41,0,-0.9149574
230,41,9,-2.773556
231,41,48,0.27088714
232,41,67,0.8363671
233,41,71,-0.9995106
234,41,77,0.47177467
235,42,8,1.9848162
236,42,20,-0.61360025
237,42,23,0.009440506
238,42,32,-0.4273416
239,42,58,0.04353149
240,42,77,-0.6460677
241,42,114,0.019576903
242,43,0,-0.6146796
243,43,4,-1.1200807
244,43,18,0.7098128
245,43,42,-0.46585467
246,43,83,1.1068894
247,44,16,-0.69010305
248,44,36,1.3774762
249,44,67,0.72598964
250,44,78,-1.774717
251,44,98,-0.5383583
252,45,35,-1.5327989
253,45,37,0.2541079
254,45,62,0.6699831
255,45,69,-0.5483151
256,45,99,0.5022874
257,45,120,-1.5373225
258,46,29,1.2638187
259,46,46,0.7132129
260,46,56,1.3410782
261,46,64,0.70847625
262,46,103,-1.9200145
263,46,107,-0.9538338
264,46,127,1.035074
265,46,130,-1.4584892
266,47,20,0.96959543
267,47,42,-0.6168234
268,47,51,-1.9472455
269,47,60,-0.6630393
270,47,111,0.46067593
271,48,4,-1.2739357
272,48,104,-0.68147016
273,49,0,-0.033894233
274,49,27,-1.1555834
275,49,50,0.3176647
276,49,52,1.0674151
277,49,76,-0.706216
278,49,102,-1.0256456
279,49,112,-1.7726206
280,49,125,-1.7377275
281,50,25,1.450399
282,50,51,-0.03463877
283,50,54,1.1105099
284,50,78,2.317077
285,50,79,-1.283862
286,50,125,1.9026686
287,51,78,0.5193809
288,51,103,1.5633364
289,51,118,-1.6205815
290,51,128,0.9854966
291,52,33,-0.35259682
292,52,40,-0.30418348
293,52,58,1.4476475
294,52,71,1.1471899
295,52,86,0.5724235
296,52,92,-1.1320924
297,52,102,0.3880437
298,52,107,0.008317215
299,53,22,-0.4158297
300,53,25,1.4082568
301,53,113,-0.83470064
302,54,27,0.43631467
303,54,78,0.5430937
304,54,97,1.5436126
305,54,114,-1.0111146
306,55,0,0.96897715
307,55,5,1.6860659
308,55,22,-0.88442844
309,55,27,-0.48202774
310,55,30,0.024490958
311,55,38,0.7305846
312,55,50,-0.032705206
313,55,72,0.0044768895
314,55,83,0.054486245
315,55,115,1.11466
316,55,128,0.97424823
317,56,32,-0.46448925
318,56,46,-2.5612178
319,56,81,0.3541723
320,56,113,-0.9839607
321,56,121,2.461895
322,57,39,1.9486233
323,57,50,0.24123004
324,57,76,0.26785105
325,57,86,-1.5766197
326,57,121,-0.32694507
327,58,0,0.115611605
328,58,2,-1.281546
329,58,22,-0.60742295
330,58,61,0.4362115
331,58,70,1.0592618
332,58,81,-1.6448034
333,58,97,-1.0787262
334,58,102,-1.5630121
335,59,8,0.805445
336,59,41,0.009194427
337,59,48,-2.0550382
338,59,70,-0.5943133
339,59,93,-0.9695266
340,59,104,0.016243113
341,59,106,-0.791701
342,59,109,-0.8978806
343,59,130,-0.67239666
344,60,10,0.9331571
345,60,17,0.051987916
346,60,23,1.8295107
347,60,33,0.8120932
348,60,44,1.2954079
349,60,59,-1.5849452
350,60,87,0.6034354
351,60,89,-1.0331223
352,60,101,-0.7018574
353,60,125,-0.640604
354,61,19,-1.1240728
355,61,22,1.1040812
356,61,96,-0.020788064
357,61,101,0.51013887
358,61,112,0.7284246
359,61,113,-0.0012985195
360,61,125,-1.3294086
361,62,2,-0.6835656
362,62,14,-1.9432995
363,62,20,1.2248578
364,62,55,0.45325184
365,62,60,0.9361797
366,62,86,-0.56435835
367,62,119,0.5921903
368,62,129,-1.5061038
369,63,43,-1.55247
370,63,51,0.22014768
371,63,81,-1.0751468
372,63,108,-0.027730374
373,63,115,0.9494329
374,64,1,1.6423532
375,64,21,-0.7970306
376,64,85,-0.9155749
377,64,106,0.028696315
378,65,10,-0.7247607
379,65,55,-0.052842446
380,65,58,1.4652973
381,65,62,0.8784502
382,65,76,-0.49384406
383,65,98,0.8283225
384,66,25,-1.4817802
385,66,31,1.3483396
386,66,37,-0.8529165
387,66,39,-0.8724091
388,66,43,0.37684953
389,66,47,-0.94219244
390,66,62,-1.1807784
391,66,107,0.008435204
392,66,114,1.7652935
393,67,20,0.5264359
394,67,31,3.9296691
395,67,64,1.1580216
396,67,75,-0.53654736
397,67,101,-1.426411
398,68,41,0.22600655
399,68,42,0.1305795
400,68,45,-0.9771813
401,68,75,1.2512369
402,68,89,-1.0670924
403,68,99,-0.46629214
404,68,109,-0.8452452
405,68,120,0.0020468198
406,69,48,-0.0015375195
407,69,53,-0.0017679716
408,69,61,-0.65611094
409,69,66,1.3640429
410,69,72,-1.1021684
411,69,97,0.28906566
412,69,113,-0.7406553
413,69,116,0.023549816
414,69,118,0.49977505
415,69,128,1.199242
416,70,18,0.5273097
417,70,30,-0.678538
418,70,50,0.43988857
419,70,62,-1.3864788
420,70,83,-1.1680257
421,70,113,-0.0064882166
422,70,130,-0.021258187
423,71,15,-0.59184533
424,71,79,2.5783424
425,71,113,-0.8580844
426,72,8,-0.53261983
427,72,17,1.0941361
428,72,78,-0.6298254
429,72,84,0.6396487
430,72,91,-1.5281107
431,72,98,-1.1808872
432,73,52,-0.020725168
433,73,54,0.78725284
434,73,55,1.7842447
435,74,23,-0.6470231
436,74,28,-2.032019
437,74,37,-0.35317189
438,74,70,0.46662593
439,74,80,0.24910533
440,74,83,0.01893736
441,74,103,-1.6009848
442,74,124,-1.7945362
443,75,11,0.008521342
444,75,19,0.64627063
445,75,63,-0.7923465
446,76,20,-1.8204011
447,76,23,-0.6192922
448,76,31,-0.9022713
449,76,55,-0.5959602
450,76,98,0.4869488
451,77,29,1.330406
452,77,47,0.2989239
453,77,52,0.18376388
454,77,71,0.62884015
455,77,85,0.0052746464
456,77,119,1.0608532
457,77,122,-2.401635
458,77,125,-1.3801141
459,78,4,-1.1159679
460,78,27,0.016088838
461,78,31,1.2233813
462,78,50,1.2788405
463,78,99,-0.0015186602
464,78,105,-0.02281749
465,78,106,-0.26727092
466,78,118,1.0105332
467,78,123,-1.1285045
468,79,41,-0.39703968
469,79,50,-1.1187998
470,79,74,-1.6650723
471,79,85,-0.07286276
472,79,115,-1.0270343
473,80,19,0.0128724845
474,80,59,0.9326721
475,80,115,-0.8167653
476,81,33,-1.3252506
477,81,60,-0.17963421
478,81,75,-0.02772597
479,81,77,-1.6353068
480,81,116,0.05096793
481,81,119,-0.6509575
482,82,26,-0.5841302
483,82,64,1.2114254
484,82,100,0.14538336
485,83,6,-0.8528729
486,83,30,1.9270706
487,83,36,1.1802952
488,83,49,-1.2797432
489,83,99,-0.7426103
490,84,26,1.5513519
491,84,31,0.0063413405
492,84,52,0.62679964
493,84,84,-0.4899059
494,84,104,2.3704715
495,85,4,-0.80877435
496,85,40,1.1756263
497,85,65,-0.9142895
498,85,81,-0.99058473
499,85,91,1.1305606
500,85,95,-0.7711546
501,85,129,-0.014722677
502,86,21,0.014920866
503,86,30,-0.5642107
504,86,69,1.6417603
505,86,77,0.70705223
506,86,80,-1.1964911
507,86,87,-2.0588696
508,86,93,-2.0026605
509,87,40,-0.7777062
510,87,57,1.2891301
511,87,79,1.2911191
512,87,100,1.9799318
513,88,49,1.668883
514,88,50,0.02454239
515,88,60,-1.3318329
516,88,97,0.99318033
517,88,118,1.3169084
518,89,4,-0.71707904
519,89,35,-0.8737461
520,89,40,2.2747796
521,89,70,0.46669272
522,89,74,0.64529693
523,89,84,-0.23023528
524,90,21,0.02494462
525,90,46,1.3089978
526,90,52,0.370321
527,90,58,-0.41841075
528,90,73,-0.7572311
529,90,93,0.42759597
530,90,114,-0.3984555
531,90,118,1.4293096
532,91,1,-0.9274708
533,91,4,-1.315164
534,91,26,1.1436262
535,91,96,0.39614567
536,92,16,-1.3871614
537,92,25,-0.7261544
538,92,26,-1.7734543
539,92,60,0.6013107
540,92,87,1.6691673
541,92,99,-2.0585184
542,93,73,-0.49635413
543,93,81,-0.76210105
544,93,83,1.5154171
545,93,94,1.4838146
546,94,4,0.027884994
547,94,35,-1.1747603
548,94,53,-0.8108806
549,94,62,-0.30537263
550,94,85,0.0023000706
551,94,87,1.0869484
552,94,104,-0.44114816
553,95,0,-0.7405384
554,95,63,-0.83672446
555,95,72,0.7321866
556,95,96,-0.68997836
557,95,111,-1.0383387
558,95,117,1.3781271
559,96,11,0.99220157
560,96,48,1.3286284
561,96,73,1.6745781
562,96,78,0.0036844928
563,96,87,-1.2721038
564,96,100,-0.7337709
565,96,104,-2.055954
566,97,27,-0.92739326
567,97,44,-1.0591489
568,97,48,0.46598813
569,97,52,-0.904125
570,97,54,0.94068927
571,97,69,-0.82110304
572,97,76,-2.3483806
573,97,117,-0.009376973
574,98,35,1.2707537
575,98,48,1.3714933
576,98,55,-0.9035832
577,98,66,1.5793852
578,98,69,0.02914339
579,98,86,-1.256075
580,98,89,1.7267131
581,98,130,0.014672924
582,99,17,0.031581983
583,99,28,1.0474892
584,99,51,-0.63886166
585,99,57,-0.007180123
586,99,67,1.3894763
587,99,90,-0.54275155
588,99,130,1.7719753
589,100,15,-1.7280452
590,100,19,-1.2511661
591,100,26,1.3020103
592,100,35,0.02634018
593,100,36,-0.6676698
594,100,52,-0.5805099
595,100,70,-0.09684518
596,100,81,0.0168482
597,100,104,0.5358378
598,101,20,1.1458211
599,101,56,0.94791794
600,101,75,-1.932807
601,101,85,0.9031388
602,102,17,-0.0004937151
603,102,27,-0.74498063
604,102,47,-0.70456326
605,102,72,0.9936623
606,102,86,-0.7260918
607,102,104,1.1119003
608,102,109,-1.2489139
609,103,67,0.878976
610,103,68,-0.40963763
611,103,92,1.5399781
612,103,107,-0.0082341805
613,104,32,-3.6575568
614,104,41,3.13009
615,104,67,2.7571146
616,104,72,0.2898995
617,104,97,-0.044120733
618,105,5,-1.0950879
619,105,55,-0.56062245
620,105,64,-1.4712957
621,105,103,-1.6531141
622,105,116,-0.53449124
623,106,43,0.80472547
624,106,50,-1.0689352
625,106,69,0.8246143
626,106,75,-0.11623983
627,107,24,0.5053103
628,107,31,-1.2410849
629,107,52,-0.0017025197
630,107,70,-0.84829706
631,107,102,0.48391154
632,107,111,-1.0403107
633,108,5,-0.34234855
634,108,16,-1.5196404
635,108,18,0.60587615
636,108,60,1.1114422
637,108,89,0.5107773
638,108,92,0.6839005
639,108,110,0.66520077
640,108,116,1.5925566
641,109,5,0.003980338
642,109,21,-1.345895
643,109,102,1.3240938
644,109,109,0.9754281
645,110,49,0.48905012
646,110,56,-1.3089195
647,110,58,-0.70589465
648,110,65,-0.48837975
649,110,105,0.030123333
650,110,116,0.0018281502
651,111,5,0.38850525
652,111,25,0.79262346
653,111,31,-0.5507217
654,111,32,-0.032957155
655,111,40,2.4212596
656,111,65,-0.06462018
657,111,82,-0.03879863
658,111,98,0.8446458
659,112,48,1.9755617
660,112,67,-0.3019367
661,112,98,-1.4407938
662,112,109,-0.5157742
663,113,2,-1.5537311
664,113,36,-1.2570677
665,113,48,-2.038372
666,113,54,0.91920304
667,113,83,-0.19102523
668,113,84,-1.4076724
669,114,51,-0.4060877
670,114,71,2.6814969
671,114,95,0.008911703
672,114,96,-0.0241934
673,114,99,-1.1314381
674,115,8,-0.30473217
675,115,29,-0.3300296
676,115,32,0.4739206
677,115,43,-0.34271598
678,115,58,0.6926711
679,115,80,0.28488234
680,116,12,0.42703092
681,116,38,1.571615
682,116,64,0.29579085
683,116,85,-1.2450325
684,116,104,-0.55115
685,116,123,-1.2906276
686,117,0,-0.700296
687,117,5,-1.4893765
688,117,61,-0.76814514
689,117,65,-0.74528176
690,117,79,0.4521204
691,117,110,1.1364467
692,118,19,-0.008678403
693,118,48,-0.036721103
694,118,51,-1.5416592
695,118,89,0.010438748
696,119,5,0.74750125
697,119,79,0.12465302
698,119,83,1.2034669
699,120,54,0.6700457
700,120,83,-1.5162958
701,120,87,-0.6035043
702,120,92,1.0277997
703,120,105,2.060993
704,121,25,1.3447374
705,121,37,-1.6187196
706,121,100,0.5269797
707,121,104,-0.8551508
708,122,23,0.6376328
709,122,27,-0.9728881
710,122,58,-0.2508615
711,122,74,0.40822363
712,122,107,-2.060107
713,123,3,-0.5339801
714,123,7,-0.9810653
715,123,15,-3.6418865
716,123,44,1.6271995
717,123,63,0.49457288
718,123,77,-1.5253901
719,123,83,0.69936144
720,123,95,-0.6144517
721,124,39,0.8024775
722,124,51,-0.48603877
723,124,53,1.8444557
724,124,67,0.65398866
725,124,79,-1.1041623
726,124,96,1.3474513
727,124,103,0.36028463
728,125,5,0.73660105
729,125,15,1.4625088
730,125,51,0.50982994
731,125,72,0.008152936
732,126,19,-0.85621554
733,126,38,1.3858255
734,126,42,-1.4370812
735,126,64,0.40693134
736,126,66,0.02251766
737,126,76,-1.4453582
738,126,92,-0.029781293
739,126,93,0.7907869
740,126,115,1.0734305
741,127,39,-0.70222545
742,127,58,1.0761966
743,127,62,0.5112897
744,128,0,-0.04326845
745,128,27,-2.4977095
746,128,56,-2.254736
747,128,78,-0.35864693
748,128,84,-0.54959345
749,128,107,-0.14789015
750,128,127,0.008621532
751,129,29,-1.748319
752,129,51,1.3106403
753,129,96,-1.2182162
754,129,100,-0.7210998
755,129,119,-0.77770466
756,129,129,0.72068053
757,130,8,-0.49044204
758,130,49,-1.7449069
759,130,59,0.45119715
760,130,66,1.0383387
761,130,68,-2.7300937
762,130,69,0.044097275
763,130,128,0.35388592
