Id,Source,Target,Weight
0,0,4,0.6790192
1,0,9,0.27467516
2,0,16,0.020941641
3,0,18,0.27391112
4,0,79,1.4834067
5,1,45,0.97758067
6,1,50,-0.41672644
7,1,55,-0.7881761
8,1,74,0.60393846
9,1,80,3.8494108
10,1,123,-0.28555363
11,2,53,-0.3417025
12,2,97,-0.056219306
13,2,110,-0.8483099
14,3,4,-0.8939983
15,3,66,-1.1033001
16,3,85,0.89544994
17,3,96,-0.6273596
18,4,20,1.4009382
19,4,95,0.04474835
20,4,104,2.2053132
21,4,109,0.22671711
22,4,128,0.46450418
23,5,4,1.3407168
24,5,50,-1.2612429
25,5,59,-0.80603975
26,5,80,0.55559623
27,5,118,0.7944723
28,6,28,0.5550913
29,6,76,-0.060571298
30,6,96,2.2628767
31,6,101,-0.016839277
32,6,123,0.95032364
33,7,18,-0.5877012
34,7,42,0.26073298
35,7,66,0.021715691
36,7,76,-1.2597961
37,8,96,-0.35423946
38,8,123,0.5952127
39,8,129,1.9628052
40,9,63,1.2560769
41,9,70,0.6573219
42,9,82,1.1283761
43,9,93,0.18423834
44,10,46,-0.030139422
45,10,58,0.034899432
46,10,86,0.59404474
47,10,127,0.009030517
48,11,43,-0.0067960923
49,11,51,0.6359023
50,11,70,0.59727067
51,11,115,1.7441256
52,11,130,0.8662767
53,12,18,0.24687502
54,12,22,0.4002437
55,12,25,1.2790134
56,12,66,-0.38408387
57,12,73,-1.0849582
58,12,78,0.3264056
59,12,94,0.4981434
60,12,102,-0.61847246
61,13,51,-0.64979506
62,13,67,0.3708534
63,13,86,-0.5199738
64,14,18,0.9559249
65,14,32,0.044139713
66,14,59,-0.6526237
67,14,68,-0.036363043
68,14,69,-0.014175432
69,14,95,1.6572169
70,14,102,-0.627409
71,14,115,-0.6023109
72,15,35,0.0042328215
73,15,42,0.33732474
74,15,56,0.20667045
75,15,57,-0.44515452
76,15,58,-0.6025847
77,16,0,-0.4306008
78,16,58,0.25146383
79,16,65,-0.78364575
80,16,100,-0.53591716
81,16,118,-0.64172614
82,16,130,1.4023448
83,17,2,-1.0440857
84,17,67,-0.13513301
85,17,72,0.26500458
86,17,79,-0.7013862
87,17,114,-1.9154634
88,17,123,0.041277893
89,18,22,1.4064221
90,18,31,0.93949306
91,18,32,1.7663629
92,18,35,-0.58533657
93,18,54,-0.33136937
94,18,86,-0.26953048
95,18,110,0.005471089
96,19,44,-0.026695015
97,19,48,0.2581904
98,19,101,0.9485485
99,20,49,-0.52705014
100,20,69,1.7957864
101,20,82,-0.9380705
102,20,107,0.9690915
103,20,113,-0.94486713
104,21,1,1.1037109
105,21,8,-0.46371126
106,21,17,0.98661023
107,21,23,1.0670949
108,21,28,0.26340845
109,21,33,0.4638422
110,22,51,-1.0532303
111,22,74,0.76676357
112,22,106,-0.614023
113,23,6,0.71790534
114,23,17,-0.466913
115,23,22,0.6673412
116,23,24,-0.044565905
117,23,39,0.70586854
118,23,79,0.341941
119,23,97,0.6135925
120,24,21,1.0512007
121,24,42,0.69773066
122,24,60,0.7424422
123,25,0,-0.6373595
124,25,12,1.5507469
125,25,76,-0.69176006
126,25,101,0.8737152
127,25,110,-0.33772096
128,26,23,-0.7331437
129,26,28,0.4488473
130,26,48,0.14703155
131,26,59,1.0510845
132,26,95,0.0050495863
133,26,97,-1.1250229
134,26,109,-0.36440396
135,26,117,0.9727854
136,27,11,0.60846275
137,27,21,-1.2844315
138,27,31,0.37889227
139,27,40,-0.0061570266
140,27,42,-0.001387939
141,27,51,-0.44039682
142,27,70,0.87412345
143,27,73,0.037761543
144,27,96,-0.4025638
145,27,106,-1.2829325
146,27,113,1.0813301
147,27,116,-0.95575386
148,28,28,1.0877188
149,28,35,0.2822594
150,28,40,0.89276034
151,28,82,0.793906
152,28,96,0.0077801207
153,29,5,1.1005188
154,29,55,-1.0011915
155,29,66,-8.354278e-05
156,29,77,-1.3871346
157,30,19,-0.23451364
158,30,48,-0.54848796
159,30,53,-1.2753544
160,30,58,0.015256976
161,30,66,-0.71180344
162,31,20,0.3724587
163,31,110,1.110342
164,31,114,0.4718212
165,31,119,1.1777036
166,31,125,-0.32990354
167,31,126,0.41147962
168,31,128,0.4170094
169,32,7,0.26007855
170,32,14,-1.9006109
171,32,18,-0.21549314
172,32,36,-0.2579272
173,32,67,-0.5000378
174,32,89,-0.028486889
175,32,92,0.9566955
176,32,120,0.61587036
177,33,4,-0.37876046
178,33,5,-0.8949241
179,33,17,-0.744259
180,33,72,0.112566896
181,33,94,-0.37846515
182,33,99,0.41290823
183,33,100,-0.53355587
184,34,26,0.4577718
185,34,38,-0.015151005
186,34,53,-0.5726919
187,34,55,0.026708586
188,34,73,0.4141795
189,35,20,0.08696017
190,35,43,-0.3698129
191,35,52,0.6822698
192,35,67,-1.0265868
193,35,80,1.0643656
194,35,84,1.4961079
195,36,14,-0.0096266875
196,36,18,1.1082228
197,36,64,0.6989112
198,36,72,3.3138084
199,36,79,-0.21983904
200,36,82,-0.45121452
201,36,87,-0.47806934
202,36,91,-0.5311219
203,36,111,-0.5850475
204,37,27,-0.13191609
205,37,28,0.012046467
206,37,30,0.35086066
207,37,44,-1.5917751
208,37,98,-0.41766816
209,37,99,0.8349156
210,37,117,0.7960405
211,38,17,1.160243
212,38,42,0.3401655
213,38,63,-0.8463831
214,38,64,-1.0617071
215,39,32,0.58339983
216,39,49,0.29103643
217,39,53,-0.010083313
218,39,56,-0.055430185
219,39,57,1.4283354
220,39,61,-1.1431822
221,39,95,0.029620055
222,39,96,-0.5384802
223,39,97,-1.1855403
224,39,110,-1.2608559
225,40,0,-0.100646146
226,40,37,-0.4926868
227,40,39,0.47170344
228,40,41,1.4416927
229,40,72,-0.6537355
230,40,76,0.13418488
231,40,92,0.70363194
232,40,117,-0.2218453
233,41,12,-0.005583991
234,41,18,-1.1488168
235,41,43,0.9050181
236,41,69,-1.6314586
237,41,86,0.37869585
238,42,32,0.685549
239,42,68,-1.2758503
240,42,86,-1.0666302
241,42,91,-0.022349205
242,43,3,-0.7896195
243,43,69,-1.017719
244,43,74,0.32807308
245,43,80,0.4804679
246,43,88,-0.017015511
247,43,94,-0.73930943
248,43,103,0.8096859
249,44,7,-0.6365301
250,44,8,-3.121296
251,44,11,0.4655336
252,44,28,0.5720112
253,44,32,-0.62348306
254,44,34,-0.58212346
255,44,42,-0.0076886225
256,44,75,0.21322346
257,44,96,1.6307162
258,44,105,-0.39055347
259,44,130,0.6764663
260,45,39,-0.03474952
261,45,127,-0.2867707
262,46,54,-1.8789529
263,46,61,0.3473304
264,46,78,-0.81599325
265,46,85,0.013112382
266,46,94,1.5500935
267,46,100,1.189585
268,47,16,0.7565262
269,47,18,0.020136677
270,47,34,1.3766472
271,47,75,2.0488257
272,47,90,-1.1578363
273,48,13,-0.0008899976
274,48,39,0.84384334
275,48,60,0.34207782
276,48,65,-0.7295342
277,48,97,-0.8734194
278,48,107,-2.2501953
279,48,123,-0.010869672
280,49,1,-1.1864549
281,49,21,0.20737933
282,49,39,-0.8935216
283,49,48,-0.38727564
284,49,107,0.8818607
285,49,110,0.2516037
286,49,122,0.15217605
287,50,4,0.053312425
288,50,7,1.2275149
289,50,48,0.071665734
290,50,49,0.38510787
291,50,57,0.13363592
292,50,75,1.5980843
293,50,88,-0.27774176
294,50,96,-0.35243124
295,51,47,-1.258148
296,51,59,0.01687649
297,51,66,-0.042329226
298,51,67,-0.005096603
299,51,68,0.01123034
300,51,72,-0.21812722
301,51,80,0.015122886
302,51,116,0.29442868
303,52,14,-0.3269513
304,52,28,-0.78027
305,52,39,0.5258095
306,52,68,0.78129154
307,52,72,0.44799265
308,52,74,-0.5648096
309,52,76,-0.5327081
310,53,26,0.035776682
311,53,52,-0.58168775
312,54,41,0.57853425
313,54,47,-0.010024372
314,54,62,-0.005566952
315,54,64,1.6610769
316,54,82,1.1004863
317,54,121,-0.8453139
318,55,10,0.30841208
319,55,11,-0.027302412
320,55,39,0.21990833
321,55,63,-0.4427465
322,55,67,-0.33106893
323,55,75,-0.74015087
324,55,108,-0.01368405
325,56,30,0.3276489
326,56,53,-0.010251048
327,56,59,-0.72071314
328,56,68,1.1247598
329,56,72,-0.31877428
330,56,83,-0.6176351
331,56,84,-0.784764
332,56,123,0.0003239601
333,56,127,0.2650487
334,57,16,0.32581443
335,57,30,-0.3950959
336,57,34,-0.9617983
337,57,43,0.7030443
338,57,81,-0.0038059521
339,57,103,1.5637155
340,58,6,-0.5102624
341,58,90,1.2471646
342,58,106,0.2499654
343,58,125,-0.032786798
344,59,21,0.82396674
345,59,27,-0.17589755
346,59,39,1.0242529
347,59,41,-0.53699493
348,59,52,0.045989342
349,59,78,-1.4798601
350,59,103,0.024092324
351,59,107,-0.36443004
352,59,108,-0.16860808
353,59,120,0.78321326
354,60,34,0.6125822
355,60,35,-1.4077346
356,61,60,0.7870818
357,61,65,0.84119064
358,61,78,-0.3367472
359,61,80,1.0728278
360,61,99,0.03939842
361,61,104,1.1842583
362,62,13,-0.26870704
363,62,32,-1.1234833
364,62,51,-0.44636807
365,62,53,-0.7571842
366,62,83,0.19694105
367,62,88,0.02922695
368,62,108,-0.0076337797
369,62,112,0.017436609
370,63,8,-0.014382094
371,63,9,0.029643606
372,63,104,-0.7238924
373,63,129,1.3930056
374,64,3,0.2255904
375,64,22,0.7165629
376,64,54,-0.6055528
377,64,60,1.6130625
378,65,2,0.2371747
379,65,16,-0.6909966
380,65,49,-0.037344236
381,65,57,-0.5785355
382,65,115,-1.4332619
383,66,6,0.3232763
384,66,12,0.59529084
385,66,19,1.2191858
386,66,32,0.017292976
387,66,41,1.99179
388,66,54,-0.47867182
389,66,79,-0.7644015
390,66,88,-0.5435363
391,66,120,-1.0128747
392,66,123,-1.0808145
393,67,27,-0.039716523
394,67,47,0.3642596
395,67,74,0.5090159
396,68,5,-0.012552813
397,68,32,-2.468843
398,68,54,0.03092506
399,68,74,0.39463383
400,68,126,1.0872588
401,69,8,-0.673667
402,69,13,1.5903965
403,69,24,0.0035658735
404,69,29,0.60226786
405,69,34,0.23566262
406,69,66,0.57308024
407,69,69,0.88254654
408,69,75,0.6429681
409,69,86,-2.2627308
410,69,106,0.58878624
411,70,5,-1.649433
412,70,10,-0.76121396
413,70,46,0.014018012
414,70,53,-0.5044647
415,70,54,0.43951342
416,70,111,0.16332987
417,71,4,-0.5251343
418,71,13,1.6160412
419,71,18,-0.51668465
420,71,24,0.87400544
421,71,37,-0.48439333
422,71,59,-0.88627714
423,71,66,-0.5692787
424,72,20,0.6997449
425,72,64,0.017309142
426,72,92,-0.5278706
427,73,46,1.6416919
428,73,52,0.36063907
429,73,70,-0.76455456
430,73,124,1.229688
431,74,13,-0.7710073
432,74,21,0.646635
433,74,22,-0.18752371
434,74,39,-1.1715691
435,75,5,-0.3284576
436,75,18,-1.0416323
437,75,20,-0.45355493
438,75,21,1.2319987
439,75,42,-1.0862267
440,75,96,0.5016014
441,75,104,-0.45516717
442,76,9,-0.40095183
443,76,12,0.6420421
444,76,52,-0.73084724
445,76,59,0.5420154
446,76,80,-1.4609495
447,76,82,2.478949
448,76,93,-1.3734778
449,76,122,0.7394971
450,77,21,0.5588773
451,77,46,0.6070324
452,77,58,1.344383
453,77,91,0.5377913
454,77,92,-0.2350057
455,77,130,-0.63537556
456,78,2,1.7042078
457,78,16,0.024612391
458,78,21,-0.7569937
459,78,31,-0.3439845
460,78,36,-1.1639324
461,78,46,-0.51583105
462,78,63,-0.16375862
463,78,65,-1.4258907
464,78,130,-1.2997197
465,79,6,-0.09814862
466,79,24,-1.0555537
467,79,69,0.60448706
468,79,70,0.06489721
469,79,98,0.3322944
470,79,116,-0.28550088
471,80,10,1.2470971
472,80,36,-0.0012924306
473,80,41,0.29686427
474,80,62,1.1897619
475,80,68,0.4888063
476,80,69,-0.39030412
477,80,72,0.22524452
478,80,86,-0.9087898
479,80,124,0.4607011
480,80,126,0.9201709
481,81,7,0.63140935
482,81,39,-0.7039783
483,81,80,-0.61565274
484,82,48,2.5454178
485,82,77,0.25690326
486,82,109,-0.46863768
487,82,111,0.5884327
488,83,4,-0.5708781
489,83,67,-2.341775
490,83,72,0.2633179
491,83,88,-0.80769694
492,83,125,-0.52958095
493,84,14,-0.24502985
494,84,20,0.028799139
495,84,96,-1.0117174
496,84,104,0.4969905
497,84,105,1.0967532
498,85,27,-0.36363944
499,85,40,-0.7936301
500,85,47,-0.65331846
501,85,82,-0.3967423
502,85,105,-0.30645293
503,86,32,0.76534635
504,86,49,-2.7434828
505,86,52,-1.8241832
506,86,57,0.13892716
507,86,74,0.023922883
508,86,94,-0.934486
509,86,106,1.5485282
510,86,122,-0.01066246
511,87,0,1.5034956
512,87,1,-0.006221399
513,87,14,0.29858285
514,87,20,0.6504812
515,87,83,-0.8962868
516,87,87,2.0589147
517,87,109,0.23636852
518,88,47,-0.017026925
519,88,70,0.038246267
520,88,112,-0.9827857
521,89,36,-0.53629243
522,89,40,-1.9560409
523,89,70,-0.28392538
524,89,101,0.46559164
525,89,108,1.4839007
526,89,129,0.49641547
527,89,130,0.92190826
528,90,13,-0.1724973
529,90,30,-1.5429356
530,90,56,-0.8142357
531,90,72,-0.39280844
532,90,73,-0.30317256
533,90,77,0.5894526
534,90,83,-0.25863922
535,90,92,-0.33557588
536,90,129,0.6541865
537,91,22,-0.0054783276
538,91,75,0.28307456
539,92,9,0.17451967
540,92,29,2.139245
541,92,105,-0.16579762
542,93,52,0.54991627
543,93,81,1.5872233
544,93,87,0.53945005
545,93,104,0.69045854
546,93,125,0.7822743
547,94,4,1.1153233
548,94,8,1.009091
549,94,9,0.7816113
550,94,27,0.23056628
551,94,45,-0.7615764
552,94,73,0.8068683
553,94,115,0.0103788925
554,95,18,0.19629346
555,95,21,-0.5508186
556,95,80,1.238791
557,95,105,1.1949455
558,95,106,0.16564392
559,96,22,-1.0203849
560,96,75,0.39393836
561,96,77,1.2494655
562,96,83,-1.6034029
563,97,9,0.010952164
564,97,36,-0.53245234
565,97,63,0.77896905
566,98,16,1.1428379
567,98,20,0.0037310661
568,98,24,-0.8244131
569,98,53,0.11951153
570,98,59,1.237121
571,98,120,-0.21788631
572,99,50,-0.76179653
573,99,56,-0.91679066
574,99,66,4.9767084e-05
575,99,89,-1.0666767
576,99,113,-0.32944083
577,99,122,0.47552532
578,100,14,0.72581846
579,100,58,-1.3031731
580,100,89,-0.712708
581,100,90,-1.7399483
582,100,95,-0.019083807
583,100,99,-0.010803037
584,100,103,0.004572834
585,100,125,-0.127555
586,101,6,-1.1082147
587,101,57,-0.8805424
588,101,63,-0.4252273
589,101,65,-0.26095933
590,101,75,0.8164831
591,101,111,-1.1518025
592,101,124,1.2489783
593,102,1,1.4826953
594,102,71,1.3866589
595,102,86,0.4776068
596,103,20,-0.40259033
597,103,23,0.4407269
598,103,29,0.16603951
599,103,36,-0.7181152
600,103,42,-0.75486714
601,103,52,-0.10195326
602,103,69,-0.5577217
603,103,86,-0.87580657
604,104,12,-0.9579328
605,104,61,1.5795219
606,104,69,1.0528823
607,104,71,1.1174312
608,105,51,-0.38566115
609,105,61,-0.4411365
610,105,67,1.1509742
611,105,106,-1.1222616
612,106,14,-1.12835
613,106,24,0.69695616
614,106,28,1.9162449
615,106,40,1.8604189
616,106,47,-1.0273957
617,106,66,0.015363059
618,106,82,-0.923601
619,106,122,-0.33728135
620,107,4,-0.6772442
621,107,57,1.3688937
622,107,70,0.48610786
623,107,71,0.014952988
624,107,74,-2.073735
625,107,86,-0.34515426
626,107,89,-0.5307586
627,107,109,1.6969426
628,107,110,-0.8110188
629,108,47,-0.58725333
630,108,48,-0.43118703
631,108,53,-0.0023989647
632,108,87,-1.1655867
633,108,126,-0.41004494
634,109,65,0.7034102
635,109,77,0.63263595
636,109,81,1.6948316
637,109,89,-0.3152427
638,109,111,0.011381289
639,109,115,-0.49935952
640,110,12,0.010385449
641,110,23,0.84124804
642,110,29,0.59303564
643,110,83,0.86030775
644,110,94,-0.0014862078
645,110,98,-0.49330252
646,111,24,-1.3649111
647,111,41,-0.39643845
648,111,79,0.73968786
649,112,2,-0.23679923
650,112,12,1.604459
651,112,39,-1.6749252
652,112,57,-0.036419757
653,112,97,0.7561212
654,112,129,-0.38089085
655,113,3,-0.034573548
656,113,41,-1.1305127
657,113,43,0.83171505
658,113,76,1.5571113
659,113,84,-1.9956238
660,113,123,0.28670183
661,113,124,-2.1958692
662,113,128,-0.76365536
663,114,57,-0.9595738
664,114,87,0.032552246
665,114,113,-0.4525324
666,114,128,0.80763614
667,115,2,0.122937605
668,115,11,0.9463256
669,115,26,-0.71100813
670,115,32,-0.44046816
671,115,53,3.2090173
672,115,67,0.8758353
673,115,68,0.2041398
674,115,71,-0.60220826
675,115,92,-1.250244
676,115,106,-1.7812444
677,115,121,0.79941195
678,116,66,-0.9952221
679,116,72,-0.81193316
680,116,74,-0.33763412
681,116,84,0.29082236
682,116,101,0.8938825
683,116,113,-0.6356023
684,117,16,0.09585516
685,117,60,-0.56374466
686,117,73,0.7718497
687,117,101,-0.921459
688,117,112,0.5607634
689,118,27,-1.9018294
690,118,58,-0.5855323
691,118,59,1.6629483
692,118,66,-0.5023197
693,119,2,-0.89516705
694,119,25,-1.1454365
695,119,41,0.42867815
696,119,83,0.8047758
697,119,94,-0.3179932
698,119,112,-0.043455858
699,120,25,-0.27239102
700,120,35,-1.3724647
701,120,63,0.21098407
702,120,73,-1.1637247
703,120,78,0.987153
704,120,91,-0.09533795
705,120,96,0.68184453
706,120,120,0.83170277
707,121,21,0.46053106
708,121,26,0.0004635693
709,121,51,0.40952197
710,121,58,-0.8917797
711,121,72,-0.42442757
712,121,73,0.67304796
713,121,83,-1.3032498
714,121,115,-0.008065438
715,122,19,-0.62624425
716,122,42,1.2670432
717,122,117,0.6189349
718,122,126,1.868108
719,123,18,-0.19633846
720,123,39,0.46608895
721,123,51,1.2255707
722,123,58,0.59997773
723,123,59,-1.6221263
724,124,14,-0.29328325
725,124,29,-0.42730412
726,124,53,-0.0061834548
727,124,100,1.3418359
728,124,126,0.86336786
729,125,21,0.8189569
730,125,57,-0.013545939
731,125,66,1.9614556
732,125,93,0.90282446
733,125,97,-0.5007851
734,125,103,-0.45781758
735,125,115,-0.6970867
736,126,3,0.030542465
737,126,4,1.1119657
738,126,6,0.37452173
739,126,9,-1.7137415
740,126,13,1.1066796
741,126,18,-0.024825357
742,126,31,0.5833886
743,126,75,0.68423325
744,126,83,-0.0012715815
745,126,102,-0.5880366
746,126,120,1.2543659
747,127,0,-0.51423967
748,127,66,-0.7296904
749,127,112,-0.99378836
750,128,69,0.5486115
751,128,95,-0.009580498
752,128,106,0.35928813
753,128,117,-0.025110917
754,129,47,-0.58404744
755,129,62,1.0345769
756,129,88,0.040927537
757,129,110,-0.17286617
758,130,1,-0.6426923
759,130,5,-0.005436125
760,130,49,-0.021215769
761,130,65,1.0206069
762,130,89,-0.24719475
763,130,106,-0.6154387
