Id,Source,Target,Weight
0,0,27,0.11536762
1,0,98,-0.01041363
2,0,112,-0.089283295
3,1,26,0.09127877
4,1,27,-0.01570638
5,1,47,-0.033800274
6,1,81,-0.20970272
7,1,87,0.12776206
8,1,89,-0.23323242
9,2,30,-0.16127236
10,2,36,-0.06824721
11,2,51,-0.12003649
12,2,56,-0.24996345
13,2,58,-0.018629141
14,2,67,-0.25410533
15,2,93,0.4349406
16,2,114,0.27622706
17,3,7,0.044646367
18,3,128,-0.11033207
19,4,22,0.002596008
20,4,24,-0.16074309
21,4,122,0.15515745
22,4,126,-0.1694433
23,5,17,-0.10185593
24,5,24,0.112666026
25,5,32,0.4663174
26,5,33,-0.17990938
27,5,37,-0.041341085
28,5,38,0.115525804
29,5,45,-0.32083055
30,5,49,0.20473352
31,5,66,-0.07992323
32,5,78,0.06148509
33,5,96,0.1030137
34,6,30,-0.16504961
35,6,32,0.0010578292
36,6,37,0.13773596
37,6,94,-0.0038938457
38,6,101,-0.0706918
39,6,123,-0.100934006
40,6,124,0.11550818
41,6,129,0.044914003
42,7,25,-0.20832357
43,7,27,0.15767357
44,7,50,-0.18936428
45,7,57,-0.0029618945
46,7,69,0.054767974
47,7,122,-0.04777189
48,8,7,0.2975529
49,8,65,-0.0780207
50,8,115,0.01708778
51,9,17,-0.3013564
52,9,19,0.30648294
53,9,39,-0.14996484
54,9,53,0.008388976
55,9,105,0.30259332
56,9,106,-0.10025961
57,10,35,0.3717818
58,10,80,-0.11770726
59,10,117,0.11357516
60,11,67,0.057892162
61,11,77,-0.05349687
62,11,79,0.033884306
63,11,86,-0.2579783
64,11,117,0.20518035
65,11,120,0.102282375
66,11,121,-0.047232743
67,12,22,0.22214058
68,12,34,-0.17562233
69,12,36,-0.20788746
70,12,45,-0.10613003
71,12,58,0.11344642
72,12,116,-0.139686
73,13,18,-0.19767888
74,13,23,0.24383318
75,13,42,-0.34694275
76,13,45,0.28006244
77,13,59,0.17956635
78,13,91,0.15109944
79,13,125,0.08350334
80,14,24,0.12387961
81,14,45,-0.35702994
82,14,79,-0.033874143
83,14,82,0.06807576
84,15,13,-0.048252303
85,15,16,-0.17587395
86,15,18,-0.21559164
87,15,35,-0.14766443
88,15,56,0.07888183
89,15,59,-0.08772065
90,15,85,-0.46526405
91,15,103,0.07158502
92,16,7,-0.11427039
93,16,16,-0.040024936
94,16,23,0.10714068
95,16,29,-0.19510888
96,16,39,0.122559786
97,16,46,0.19491716
98,16,48,-0.030998185
99,16,75,0.20792158
100,17,23,-0.073490694
101,17,87,0.08946812
102,17,94,0.15892312
103,17,116,-0.04733726
104,18,33,-0.17248194
105,18,62,-0.41234115
106,18,74,-0.2197034
107,18,80,-0.2110427
108,18,85,0.24557537
109,18,93,0.09945939
110,19,27,0.25839958
111,19,37,-0.061211146
112,19,115,-0.51260287
113,19,118,-0.08600502
114,20,2,0.47361326
115,20,23,0.35944533
116,20,24,0.04917088
117,20,51,0.3707769
118,20,56,0.27266523
119,20,58,-0.21324587
120,20,61,-0.21962234
121,20,76,0.19544567
122,20,77,0.07197301
123,20,93,0.1397643
124,20,118,0.2070367
125,21,8,-0.32227856
126,21,36,0.15115182
127,21,38,-0.13653277
128,21,39,-0.10908105
129,21,48,-0.25021565
130,21,117,0.079238206
131,22,43,0.087362535
132,22,45,0.13648142
133,22,51,0.85335326
134,22,70,-0.117948174
135,22,118,0.29576707
136,22,127,-0.010108999
137,23,21,0.07006317
138,23,35,0.5204924
139,23,109,-0.082111605
140,23,112,-0.025939222
141,23,119,-0.18281032
142,23,120,0.4629947
143,24,2,-0.21766542
144,24,54,0.23321196
145,24,65,0.08279408
146,24,78,0.08168162
147,24,86,0.38136348
148,24,93,-0.04332541
149,24,112,-0.28337133
150,24,117,-0.1437703
151,25,8,0.020623798
152,25,64,-0.008821041
153,25,88,-0.17948999
154,25,97,0.3312374
155,25,100,-0.0063188914
156,26,39,0.045918945
157,26,82,0.2382727
158,26,104,-0.035043117
159,26,122,0.09020493
160,27,9,-0.27324483
161,27,26,-0.068787925
162,27,62,0.12069981
163,27,73,0.23377913
164,27,88,-0.19763742
165,27,110,0.09728576
166,28,59,0.013224994
167,28,60,0.10300648
168,28,65,0.32519686
169,28,101,0.37241682
170,29,37,-0.2502809
171,29,40,0.095551625
172,29,63,-0.2199049
173,29,82,-0.030506192
174,29,88,0.07266833
175,29,122,0.037317242
176,30,5,0.4140857
177,30,11,0.14800936
178,30,12,0.1020447
179,30,43,-0.07478352
180,30,44,-0.3209651
181,30,45,-0.015964743
182,30,48,-0.053303577
183,30,63,0.1464947
184,30,115,0.05573447
185,31,38,0.07663004
186,31,55,-0.07160798
187,31,89,0.20804963
188,32,51,-0.0059827366
189,32,64,-0.18081315
190,32,74,-0.004288277
191,32,97,0.28016344
192,32,117,0.27926573
193,33,90,0.011637744
194,33,91,-0.041264825
195,33,122,0.32204425
196,33,123,0.5139296
197,34,0,0.07116593
198,34,2,0.37905464
199,34,50,0.6683395
200,34,59,0.13275361
201,34,78,0.35432535
202,34,88,-0.14589316
203,34,93,0.39684087
204,34,102,0.48727125
205,34,128,0.1865235
206,35,38,0.13337488
207,35,95,-0.23932828
208,35,123,-0.24215856
209,36,3,-0.14164932
210,36,12,0.17751221
211,36,36,-0.23356448
212,36,81,0.01365894
213,36,93,-0.29886687
214,37,11,0.5434277
215,37,58,0.04201353
216,37,83,0.20710498
217,38,14,0.1731474
218,38,16,0.09653005
219,38,27,-0.02270833
220,38,73,0.16527873
221,38,83,-0.026373938
222,38,109,-0.14385541
223,38,112,0.46985096
224,39,62,-0.14124851
225,39,83,0.11642508
226,39,85,-0.061330564
227,39,107,0.1532125
228,39,108,-0.07407702
229,40,51,0.009451673
230,40,84,0.0027155424
231,40,86,-0.15032278
232,40,96,-0.058378972
233,40,102,0.22945416
234,40,128,-0.030345133
235,41,3,-0.11098733
236,41,40,-0.08217815
237,41,47,-0.13457946
238,41,78,-0.25567737
239,41,97,0.0873953
240,42,5,-0.59137833
241,42,6,-0.09414754
242,42,24,0.14737466
243,42,31,0.056688316
244,42,53,-0.32325295
245,42,56,0.15159586
246,42,86,-0.1516531
247,42,97,0.19824994
248,43,11,-0.15409733
249,43,16,0.011477203
250,43,31,0.068080954
251,43,39,-0.16832958
252,44,72,0.13444844
253,44,78,-0.08168852
254,44,84,0.072603434
255,44,129,-0.36214274
256,45,73,-0.039325397
257,45,105,0.1308299
258,45,117,0.2660738
259,46,6,0.71577907
260,46,24,0.4201973
261,46,32,0.7785793
262,46,36,0.020751968
263,47,79,-0.014640154
264,47,117,0.1957123
265,47,123,-0.02544449
266,48,37,-0.21165176
267,48,43,0.36958796
268,48,76,0.19502975
269,48,81,-0.008402651
270,48,86,0.24923106
271,48,93,0.3804768
272,49,3,-0.28877202
273,49,49,-0.13893026
274,49,57,0.026462723
275,49,73,-0.22723077
276,49,91,-0.17953202
277,49,98,0.10779629
278,49,109,-0.19437447
279,49,110,-0.009490433
280,50,24,0.2791008
281,50,32,-0.19975123
282,50,42,-0.20927219
283,50,65,-0.4824826
284,50,81,-0.28467607
285,50,106,-0.41454872
286,50,110,0.053126812
287,50,112,-0.20803134
288,51,12,-0.48052463
289,51,46,0.24756771
290,51,49,-0.5209424
291,52,4,0.17191064
292,52,53,0.29468104
293,52,54,-0.19443211
294,52,57,-0.01908645
295,52,84,-0.13117316
296,53,45,-0.19643126
297,53,61,-0.22362764
298,53,105,0.2692856
299,53,115,-0.19715215
300,53,130,0.10792926
301,54,5,-0.27265027
302,54,12,0.25979897
303,54,30,0.20082286
304,54,32,0.32868764
305,54,36,-0.089093655
306,54,51,0.24001053
307,54,55,0.07042489
308,54,80,-0.079115786
309,54,125,-0.18914317
310,55,26,-0.16275533
311,55,99,-0.19976272
312,55,102,-0.30077317
313,55,118,0.040568843
314,55,119,-0.18596688
315,56,41,-0.009900333
316,56,46,0.18358916
317,56,56,-0.19015737
318,56,110,0.1033253
319,57,2,-0.1468165
320,57,21,0.34380978
321,57,48,0.062578104
322,57,58,0.15668342
323,57,87,0.044042267
324,58,51,-0.2063991
325,58,84,0.07012097
326,59,49,0.032279305
327,59,57,0.076993406
328,59,119,-0.017806474
329,60,4,-0.020819457
330,60,24,-0.03590167
331,60,26,-0.010451354
332,60,27,0.025476241
333,60,44,0.001016737
334,60,54,0.05244475
335,60,67,-0.27383754
336,60,94,0.014810863
337,60,104,-0.39866957
338,60,112,0.16866039
339,61,7,-0.07679086
340,61,12,0.058538757
341,61,24,0.13109347
342,61,38,-0.22268662
343,61,54,-0.14546749
344,61,77,0.023114448
345,61,106,-0.12968986
346,61,125,-0.038781248
347,62,12,-0.19950168
348,62,25,0.23873134
349,62,29,-0.21397212
350,62,70,-0.39895716
351,62,112,0.13745774
352,62,115,-0.44193226
353,63,9,-0.17690852
354,63,25,0.14087072
355,63,31,-0.04504525
356,63,62,-0.2851289
357,63,63,0.0022543883
358,63,97,0.08237146
359,63,108,0.0023403415
360,64,14,0.12940153
361,64,30,0.05824925
362,64,35,0.13797218
363,64,53,0.21337748
364,64,72,-0.1440856
365,64,115,0.015226698
366,64,118,0.11777709
367,65,2,0.3874789
368,65,7,-0.008468081
369,65,9,0.16379675
370,65,23,-0.057878267
371,65,68,0.26107046
372,65,71,0.27637812
373,65,78,-0.20022415
374,65,81,-0.18381435
375,65,108,0.058697056
376,65,119,0.2788514
377,66,55,0.24517737
378,66,58,0.10768279
379,66,62,-0.055615447
380,66,79,-0.27350625
381,66,98,-0.049225327
382,66,117,0.095267795
383,67,38,-0.004998581
384,67,49,-0.14364876
385,67,69,0.015864938
386,67,93,-0.3079577
387,68,0,-0.17161599
388,68,15,-0.12087649
389,68,49,0.025866173
390,68,60,0.21137865
391,68,72,0.0993878
392,68,118,-0.2830453
393,69,12,0.007943208
394,69,54,0.023321128
395,69,109,0.13982956
396,69,124,0.35103968
397,69,129,0.035752833
398,70,0,0.24095188
399,70,42,-0.1477201
400,70,55,-0.03562116
401,70,60,0.111229405
402,70,65,0.10053088
403,70,67,-0.035688203
404,70,80,0.21771353
405,70,102,-0.14804985
406,70,114,0.10641279
407,71,6,0.20320706
408,71,47,0.27177784
409,71,71,-0.056128487
410,72,25,0.08116539
411,72,33,-0.29443288
412,72,40,0.16521595
413,72,70,-0.37121996
414,72,78,-0.052378412
415,72,81,0.07652949
416,72,89,-0.39803997
417,72,130,-0.31308332
418,73,10,-0.006425459
419,73,72,0.6436115
420,73,84,0.2076045
421,73,112,0.27515578
422,74,22,-0.16786721
423,74,37,0.2958524
424,74,59,0.00012646645
425,74,91,0.022375429
426,75,19,-0.11939723
427,75,30,0.11612277
428,75,39,0.035657015
429,76,44,-0.059936948
430,76,119,0.22817644
431,76,125,-0.20044236
432,77,28,0.023875352
433,77,32,0.12884913
434,77,42,0.2557054
435,77,53,0.08436607
436,77,76,-0.23539339
437,77,84,-0.33263835
438,78,14,0.0910856
439,78,55,-0.11029686
440,78,111,0.009874112
441,78,117,-0.27805445
442,78,122,-0.25094217
443,79,31,0.08292365
444,79,32,0.023920642
445,79,62,0.021538515
446,79,110,0.02899488
447,80,18,0.16245145
448,80,32,-0.3332627
449,80,51,-0.26751885
450,80,60,0.0068772812
451,80,87,-0.31463185
452,80,93,0.037870634
453,80,95,0.0012233563
454,80,105,-0.24091512
455,80,111,-0.02067786
456,81,8,0.22302788
457,81,69,-0.3623223
458,81,77,0.3298575
459,81,78,-0.2938268
460,81,82,-0.0127255265
461,81,115,0.14493196
462,82,8,-0.22079103
463,82,14,-0.36447355
464,82,16,0.060299452
465,82,23,0.3243891
466,82,58,0.06080866
467,82,108,-0.18135925
468,83,9,-0.42524886
469,83,28,-0.33766404
470,83,40,-0.18435849
471,83,54,0.33803815
472,83,120,-0.11393916
473,84,37,0.33139414
474,84,81,-0.034558583
475,84,91,0.0144281555
476,84,118,0.100347094
477,84,124,-0.10922785
478,85,62,0.08189413
479,85,76,-0.20024964
480,85,96,-0.08097844
481,85,114,-0.06150584
482,86,22,0.1716259
483,86,44,-0.09901448
484,86,45,-0.009218852
485,86,70,-0.18156014
486,86,93,-0.22952694
487,86,126,-0.05008523
488,87,23,0.22565725
489,87,24,-0.09217483
490,87,43,-0.113021515
491,87,51,-0.02913308
492,87,52,0.0035461863
493,87,60,-0.25983572
494,87,77,-0.0030076546
495,87,94,-0.16341583
496,87,100,0.074304074
497,88,11,0.00088027515
498,88,18,-0.14298527
499,88,23,-0.32498252
500,88,39,-0.14582081
501,88,85,0.2169875
502,88,100,-0.007869714
503,88,119,0.22662963
504,88,130,-0.036963344
505,89,15,0.13908991
506,90,37,-0.46920496
507,90,78,0.12091202
508,90,102,-0.083791874
509,90,128,-0.07885236
510,91,2,-0.02218057
511,91,33,0.1549525
512,91,63,-0.09740735
513,91,65,-0.015648238
514,91,96,-0.020138036
515,91,106,-0.07746185
516,91,124,-0.11385866
517,92,35,-0.03345138
518,92,37,0.27473176
519,92,78,-0.037125695
520,92,97,0.211879
521,92,106,-0.08646313
522,92,113,-0.1634172
523,93,24,0.2658612
524,93,28,-0.19202787
525,93,33,0.08570788
526,93,37,0.12408167
527,93,45,0.12025186
528,94,7,0.6515373
529,94,17,0.45697492
530,94,18,0.25305533
531,94,35,-0.50687844
532,94,83,0.51211715
533,94,95,0.26991677
534,94,108,0.016341867
535,95,11,-0.13228805
536,95,14,0.19513805
537,95,17,0.36013284
538,95,89,0.15116304
539,95,91,-0.4045994
540,95,103,-0.562461
541,95,114,0.46844923
