Id,Source,Target,Weight
0,0,35,-0.013375497
1,0,42,-1.1007404
2,0,57,-0.32600445
3,0,86,-0.21455221
4,0,110,1.6879056
5,0,112,-1.2447851
6,1,31,-0.3625188
7,1,40,0.15054856
8,1,43,0.11954116
9,1,46,-0.009541639
10,1,69,0.6671971
11,1,71,-0.7441126
12,1,82,0.008237142
13,1,113,0.5523953
14,2,6,-1.0724872
15,2,17,-0.38855225
16,2,64,1.2313505
17,2,100,-0.21886514
18,2,112,-0.9280945
19,2,115,2.6552312
20,2,117,1.3362842
21,3,16,-1.02436
22,3,31,1.5753343
23,3,39,-0.16593345
24,3,73,0.19948594
25,3,88,0.51202786
26,3,90,1.3389128
27,3,99,0.3536973
28,3,100,0.17895788
29,3,117,0.8676398
30,4,7,1.2702504
31,4,57,0.8683285
32,4,65,-0.031402312
33,4,110,0.029102085
34,5,9,0.22133596
35,5,12,-0.5016958
36,5,23,0.6257643
37,5,43,-0.0020822159
38,5,54,-0.4638964
39,5,82,-0.516303
40,5,130,-0.69449824
41,6,22,1.2096902
42,6,42,0.0055508763
43,6,92,1.3886747
44,6,103,1.0413281
45,6,109,1.2591864
46,6,128,-1.0900086
47,7,6,0.11237037
48,7,12,0.5837783
49,7,41,-0.64213705
50,7,89,-1.0122311
51,7,92,-0.5524506
52,7,105,0.31162053
53,7,115,-0.54348445
54,7,130,-0.04462554
55,8,6,-0.45133838
56,8,57,-0.17484747
57,8,60,-0.098074175
58,8,69,0.092327155
59,8,71,-0.9591682
60,8,113,-0.106316246
61,9,12,-0.3904895
62,9,52,1.6217809
63,9,79,0.08251225
64,9,89,-0.57093513
65,9,126,-0.09822176
66,10,3,-0.13261834
67,10,98,-0.6369937
68,10,103,0.39803782
69,10,106,0.8097666
70,10,112,-0.38529497
71,10,128,0.54871225
72,11,70,-0.098065905
73,11,89,0.7095952
74,11,93,0.7490565
75,11,105,0.11400023
76,11,112,0.28880295
77,12,41,-1.9731809
78,12,42,-1.4178265
79,12,71,0.097300015
80,12,76,0.5256488
81,12,85,2.3981795
82,13,11,0.32594928
83,13,17,-0.13016225
84,13,22,-0.47938913
85,13,104,-0.5146118
86,14,11,0.7716619
87,14,27,-1.9812487
88,14,41,-0.40033522
89,14,62,-0.01005374
90,14,95,0.7292755
91,15,6,-0.23233402
92,15,12,-0.0695659
93,15,63,0.55208784
94,15,93,0.22129743
95,15,106,-0.046947945
96,15,109,-0.44524395
97,17,21,0.7131784
98,17,31,-0.1460949
99,17,76,2.4613183
100,17,92,0.05946055
101,17,99,-0.6930672
102,17,110,0.22807004
103,17,112,0.08846241
104,18,78,0.629605
105,18,106,-0.8871136
106,18,122,0.82330596
107,19,0,-0.6901935
108,19,21,-0.21564934
109,20,1,0.50844723
110,20,12,-0.7415876
111,20,77,0.09879851
112,20,83,-0.009968593
113,20,87,-0.016058575
114,20,109,-0.041610673
115,21,34,-0.0020572382
116,21,39,0.5531409
117,21,84,-0.123503804
118,21,98,-0.47765693
119,21,113,0.7442629
120,22,0,-2.0526698
121,22,35,0.4163371
122,22,54,-1.1909417
123,22,97,-0.4533694
124,22,102,1.2513709
125,22,118,0.10854705
126,22,130,0.019424748
127,23,6,0.6330754
128,23,63,-1.4446285
129,23,84,-0.359746
130,23,113,0.46231365
131,23,117,-1.6323667
132,24,6,1.1044005
133,24,7,1.6564716
134,24,15,-0.043093543
135,24,23,0.06984168
136,24,28,-0.00063921977
137,24,31,-0.096443534
138,25,2,-0.013298259
139,25,7,-0.7653907
140,25,22,2.1587963
141,25,35,-0.060873803
142,25,64,-0.32111138
143,25,66,-0.03787026
144,25,109,-0.47332558
145,26,17,-0.16976361
146,26,55,-0.062457982
147,26,57,-0.582816
148,26,67,1.4062937
149,26,72,-1.3926528
150,26,83,-0.0031293577
151,26,110,-0.28337532
152,26,112,-2.4784937
153,27,83,2.1812053
154,27,94,-0.94529235
155,27,102,-0.13610898
156,27,108,0.51065695
157,28,33,0.85904175
158,28,45,-0.36327866
159,28,49,-0.8986211
160,28,98,0.030913725
161,29,7,1.193786
162,29,22,0.80687594
163,29,36,-0.5212674
164,29,73,0.7584737
165,29,97,0.43762735
166,29,115,0.12445062
167,29,124,-1.2823694
168,30,12,0.8063081
169,30,39,0.9625412
170,30,48,0.0904465
171,30,58,0.60213524
172,30,95,-0.36752138
173,30,103,0.17638412
174,30,126,0.10259004
175,31,13,0.43393537
176,31,34,-0.31289235
177,31,39,-1.5098786
178,31,41,0.1133408
179,31,43,-1.1561571
180,31,83,0.5501204
181,31,85,2.0713477
182,31,105,-0.7437721
183,31,119,1.575658
184,31,126,-0.033859666
185,32,12,0.0823163
186,32,35,-0.52985287
187,32,121,0.07737096
188,33,24,-0.43325815
189,33,41,1.0131959
190,33,93,-1.0234231
191,33,104,0.7533213
192,33,106,0.064778976
193,33,118,-1.6838458
194,34,3,-0.42049477
195,34,18,0.99864084
196,34,38,0.014128353
197,34,50,-1.0460383
198,34,56,0.120425165
199,34,85,-0.063599505
200,34,92,-0.6601746
201,34,94,0.31932142
202,34,110,0.049276765
203,35,14,0.68588036
204,35,24,0.32966667
205,35,26,-0.36026055
206,35,38,0.5689624
207,35,59,-0.80937654
208,35,69,-1.4489902
209,35,79,-0.5097459
210,35,85,-0.24836715
211,35,127,-0.40515545
212,36,9,-0.64654183
213,36,43,0.1389162
214,36,54,0.5201228
215,36,60,0.98436284
216,36,80,-0.01213926
217,36,105,-0.6829743
218,36,116,0.31269145
219,36,127,-0.2166813
220,37,60,-1.650119
221,38,97,-0.039908275
222,38,116,-0.9007871
223,38,121,1.6393015
224,39,0,-1.5340015
225,39,2,-0.08286265
226,39,16,2.2795074
227,39,64,-0.6229661
228,39,71,-0.3372618
229,39,85,0.21006626
230,39,108,0.7957251
231,39,110,1.1070305
232,40,11,-0.8367457
233,40,23,0.80503076
234,40,51,0.528504
235,40,62,0.40710095
236,40,72,-1.0536563
237,40,98,-0.61683387
238,40,124,-2.644154
239,41,79,0.17724282
240,41,96,-0.032886803
241,41,116,-1.0802693
242,41,128,-0.3735936
243,42,12,-0.033584103
244,42,36,-0.52492106
245,42,54,0.6582872
246,42,58,-1.1397395
247,42,91,-1.0074519
248,42,95,-1.2243183
249,42,102,-2.42538
250,43,24,1.452622
251,43,33,-0.6797229
252,43,53,0.9814778
253,43,63,-0.0018145603
254,43,88,-0.77789533
255,44,1,-0.028273458
256,44,100,-1.2704779
257,44,106,-0.40548396
258,45,13,0.67457134
259,45,17,-1.6249013
260,45,86,-0.093390584
261,45,111,1.203892
262,45,119,0.055496357
263,46,14,1.4948446
264,46,40,1.2716216
265,46,44,-0.3086053
266,46,58,0.006977797
267,46,81,0.04361649
268,46,90,1.1763636
269,46,111,-1.2584739
270,46,113,-0.070202395
271,46,114,-0.04299524
272,47,57,-1.4907358
273,47,65,-0.1759532
274,47,116,1.2896571
275,48,10,0.004572989
276,48,30,1.8185804
277,48,43,-0.037139345
278,48,64,0.77426016
279,48,100,-0.14902757
280,48,120,0.009773855
281,49,39,-0.6789031
282,49,47,-0.0026841238
283,49,49,0.31194976
284,49,65,-0.4765894
285,49,81,0.06301289
286,49,86,0.10061313
287,49,128,-0.6551529
288,50,19,0.03198635
289,50,39,0.029268384
290,50,60,0.5745481
291,50,69,-1.0483701
292,50,108,-0.2989189
293,50,119,0.018715592
294,51,22,0.57571137
295,51,78,-0.6693442
296,51,80,-1.0014254
297,51,109,-0.316701
298,51,125,0.6633108
299,51,126,-1.0470915
300,52,24,0.5901065
301,52,25,2.1456802
302,52,33,0.6657491
303,52,68,-0.0045921775
304,52,81,-0.20832288
305,52,83,0.013031465
306,52,101,-0.0009263371
307,52,130,-0.7644725
308,53,10,-0.45632082
309,53,27,-0.17662157
310,53,50,-0.7136271
311,53,100,-0.6215268
312,53,111,0.20092468
313,53,112,0.22260399
314,53,127,-0.4165497
315,54,3,0.67183363
316,54,9,-0.008799635
317,54,26,1.1783297
318,54,51,-0.503313
319,54,74,-1.4112759
320,54,79,0.08381672
321,55,2,-0.23394841
322,55,9,-0.33287096
323,55,49,0.57549953
324,55,97,-0.68741596
325,56,6,-0.6818045
326,56,11,0.5774474
327,56,100,0.028942915
328,56,119,-0.21176413
329,56,120,0.551785
330,56,123,1.2653443
331,56,125,-0.042053774
332,56,129,-1.2236152
333,57,31,-0.33149856
334,57,56,0.4934787
335,57,81,1.6383938
336,57,116,0.5555564
337,58,19,0.47370648
338,58,28,-1.2489606
339,58,64,2.1199217
340,58,126,1.1835829
341,59,33,-0.98541963
342,59,62,1.0702231
343,59,88,-0.74143827
344,59,98,0.40838462
345,59,105,1.1927677
346,59,128,-0.37944326
347,60,2,-1.0261592
348,60,3,0.6657683
349,60,11,1.1438066
350,60,12,1.2685846
351,60,17,-1.05465
352,60,45,-0.12824813
353,60,57,0.96348685
354,60,64,-0.13752373
355,61,22,-0.42307842
356,61,96,1.4595283
357,61,113,-0.6062859
358,61,115,-0.5757498
359,61,123,1.4643034
360,62,45,0.8157806
361,62,83,0.37249792
362,62,92,0.47628546
363,62,110,0.022290584
364,62,117,-0.4963503
365,63,9,0.23279901
366,63,18,-1.4866601
367,63,44,-0.0011429321
368,63,120,0.1800249
369,63,123,-0.009551138
370,64,41,0.35622135
371,64,43,-0.32090497
372,64,84,1.2781986
373,64,121,0.69262433
374,64,126,-0.7775696
375,65,2,-0.28269574
376,65,12,0.5624741
377,65,43,1.7436739
378,65,51,-0.87004244
379,65,60,-0.31096753
380,65,70,-0.027426463
381,65,73,-0.68477774
382,65,86,0.62297916
383,66,5,-0.34511858
384,66,15,0.63349956
385,66,82,-0.2271382
386,66,110,-1.1850917
387,66,120,-0.28108943
388,67,21,0.7077072
389,67,43,-0.096681744
390,67,45,-0.6718375
391,68,72,0.07803618
392,68,79,-0.08550427
393,68,127,-1.481386
394,69,5,0.59515053
395,69,15,-1.6055622
396,69,61,-0.095465295
397,69,71,-0.6421179
398,69,104,0.043888703
399,69,128,1.6006325
400,70,11,-0.5896589
401,70,16,-0.048795085
402,70,31,0.72696
403,70,54,1.0822468
404,70,68,-1.0328636
405,70,76,-0.014224098
406,70,83,0.32012817
407,70,104,0.6787657
408,70,109,-0.7959718
409,70,116,-0.14678435
410,70,126,-0.022707375
411,71,48,-0.86199874
412,71,77,2.564541
413,71,79,0.17060825
414,71,87,-0.0048504407
415,71,109,0.4299942
416,71,120,0.46839643
417,72,7,0.3555824
418,72,91,-2.1753297
419,73,12,-0.56442094
420,73,40,-0.5090664
421,73,57,0.20662422
422,73,58,-0.78348136
423,73,60,-0.14405271
424,73,70,-0.5327156
425,73,98,0.3293467
426,73,105,-0.19449975
427,74,22,0.7083211
428,74,38,0.26038587
429,74,81,-0.86624247
430,74,91,-0.54449743
431,74,114,1.5340084
432,75,28,-0.5432037
433,75,66,-0.4272964
434,75,87,-0.34719464
435,76,80,1.9772881
436,76,126,-1.1856548
437,77,19,0.9707855
438,77,54,0.2853265
439,77,84,-0.039747052
440,77,123,0.2811627
441,77,128,-0.05623419
442,78,10,-0.05728955
443,78,48,0.06535339
444,78,52,-0.192718
445,78,69,0.3898512
446,78,90,0.5757191
447,78,93,-0.7897254
448,78,100,0.27295363
449,78,103,-0.3907679
450,78,104,0.97026503
451,79,0,1.0083582
452,79,35,-1.0113125
453,79,69,0.29136056
454,79,86,-0.65008384
455,80,5,-0.35277998
456,80,15,-0.004365091
457,80,29,-1.1625389
458,80,42,-0.17828448
459,80,54,0.2961829
460,80,79,-1.7572916
461,80,95,1.0282629
462,80,97,0.1871213
463,80,122,-0.4345401
464,81,20,0.9286795
465,81,38,-0.9531564
466,81,50,-0.17923498
467,81,101,1.7590607
468,81,128,-0.16560109
469,82,14,0.19535483
470,82,59,-3.0409896
471,82,91,0.20060912
472,82,102,0.0019246314
473,83,51,0.43183392
474,83,70,1.9348766
475,83,98,0.3322638
476,83,102,-1.6587365
477,83,127,-0.982502
478,84,6,0.28152084
479,84,46,0.007311709
480,84,95,0.31298876
481,84,96,0.055409778
482,84,98,0.21364969
483,84,117,0.00087700994
484,85,46,1.3799279
485,85,47,-0.32352287
486,85,73,-0.6740068
487,85,82,1.2699864
488,85,83,-1.7253757
489,85,125,1.2788715
