Id,Source,Target,Weight
0,0,3,-1.1227266
1,0,5,-0.63490754
2,0,20,1.6495196
3,0,30,-0.8942614
4,0,43,0.59473765
5,0,121,-0.7170378
6,0,124,-0.96202546
7,1,7,1.2970796
8,1,21,-0.15927227
9,1,28,-0.01458392
10,1,32,-1.6048037
11,1,52,-0.2146845
12,1,59,-0.003552531
13,1,62,-0.5681471
14,1,102,-0.2990306
15,1,127,1.7869078
16,2,6,-0.6563113
17,2,37,2.071995
18,2,39,1.693072
19,2,50,0.024035932
20,2,74,-0.91785735
21,2,86,-0.37541017
22,2,120,0.8067796
23,2,124,0.98135775
24,3,26,1.4409461
25,4,74,0.44367793
26,4,85,-0.90377456
27,4,127,-0.6706479
28,5,19,-1.0254277
29,5,62,0.35390016
30,5,90,0.6442221
31,5,126,1.6090133
32,6,3,1.7560691
33,6,7,0.012487188
34,6,27,0.54081523
35,6,102,0.44874743
36,6,115,-0.45220777
37,7,1,1.3044019
38,7,23,-0.54754543
39,7,33,-1.3953727
40,7,37,0.019284338
41,7,39,-2.1625519
42,7,45,-0.7276531
43,7,66,-0.013972671
44,7,91,-1.6923412
45,7,97,-0.15616345
46,8,12,5.2098685e-06
47,8,16,2.298949
48,8,46,-1.3328228
49,8,51,-0.36203495
50,8,73,-0.81345314
51,8,93,0.6156039
52,9,0,-0.95467603
53,9,7,0.021125646
54,9,8,-2.952733
55,9,29,0.6337585
56,9,54,0.6062127
57,9,58,-1.27572
58,9,125,1.6219409
59,10,57,1.1793324
60,10,63,1.6458344
61,10,68,0.0209646
62,10,73,0.009539827
63,10,77,0.6202591
64,10,79,-0.6103212
65,10,106,-0.68101156
66,11,12,-0.7024756
67,11,19,1.7584901
68,11,23,-1.4683952
69,11,27,-1.4399337
70,11,34,0.354759
71,11,44,0.41932818
72,11,76,-0.5060753
73,11,93,0.9870548
74,11,102,-1.2920326
75,11,117,0.7917674
76,11,128,0.053421292
77,12,3,0.88216263
78,12,4,1.3073714
79,12,5,2.0261545
80,12,14,-0.021737928
81,12,78,-0.79497653
82,12,93,-1.4081582
83,13,16,-0.13636519
84,13,29,-0.937377
85,13,37,0.028849058
86,13,63,-0.43034783
87,13,74,-0.41291597
88,13,84,0.7436405
89,13,95,-0.9127192
90,13,97,0.8623817
91,13,102,0.9895693
92,13,126,0.95623475
93,14,15,1.6055039
94,14,45,-0.6817164
95,15,17,-0.0046394863
96,15,19,1.8700805
97,15,43,1.329522
98,15,50,1.3871862
99,15,102,0.07701239
100,16,1,-0.68344796
101,16,20,0.5419613
102,16,21,0.94917816
103,16,95,1.0045193
104,16,103,1.3848358
105,16,114,0.7356276
106,16,120,-1.0953119
107,17,15,0.5731117
108,17,30,0.38293433
