Id,Source,Target,Weight
0,0,34,1.1484674
1,0,42,-0.5079453
2,0,62,0.24374504
3,0,66,0.44244552
4,0,72,-0.051458158
5,0,75,0.5972324
6,0,78,-0.44454184
7,0,86,-0.013082296
8,0,107,-0.38044238
9,1,2,-0.35073152
10,1,37,-0.09336761
11,1,107,0.16898312
12,1,110,-0.12598631
13,1,111,1.0526029
14,1,113,0.02001309
15,1,125,-0.29479158
16,2,4,0.5619415
17,2,17,-0.11862324
18,2,18,-1.2913114
19,2,33,-0.3211983
20,2,59,0.49626908
21,2,64,-0.4735091
22,2,86,-0.5832257
23,2,102,-0.025354004
24,2,106,0.14296442
25,2,117,0.44186392
26,2,121,0.618367
27,3,14,-0.31576347
28,3,68,-0.19766656
29,3,81,-0.017846184
30,3,106,0.27181554
31,3,112,0.19270524
32,4,15,-0.5024143
33,4,52,-0.14403965
34,4,59,0.70508456
35,4,77,0.99633855
36,4,113,0.10937283
37,5,8,0.6240036
38,5,42,0.25193647
39,5,50,-1.0579329
40,5,84,0.27329195
41,5,92,0.5606061
42,6,44,-0.004753995
43,6,59,0.5998476
44,6,93,-0.15287058
45,6,117,0.32590032
46,6,120,0.28268287
47,6,123,-0.06745803
48,7,9,-0.6113012
49,7,14,1.1577117
50,7,22,0.032054607
51,7,92,0.1014897
52,7,106,0.7367923
53,7,107,1.1516572
54,8,31,-0.64151275
55,8,58,-0.65049744
56,8,71,-0.34142998
57,8,90,-0.60926247
58,8,107,0.77859396
59,9,38,0.39401048
60,9,76,-0.58224905
61,9,82,-0.14655642
62,9,88,0.038264688
63,9,90,-0.849843
64,10,7,-0.7393614
65,10,31,0.008758153
66,10,33,-0.18335575
67,10,72,-0.11306371
68,10,94,0.18378599
69,10,127,-0.22540684
70,11,11,0.84646946
71,11,27,-0.39785215
72,11,43,-1.2233795
73,11,78,-0.1836027
74,11,122,-0.036286205
75,12,9,0.09378244
76,12,32,-0.47749513
77,12,75,0.5098107
78,12,80,-0.12286267
79,12,101,0.2047793
80,12,105,-0.53602976
81,12,106,-0.7030851
82,12,109,0.25315705
83,12,114,0.53261995
84,13,0,0.22217345
85,13,18,0.5409382
86,13,23,-0.4438448
87,13,53,1.512822
88,13,102,0.14667857
89,13,119,1.2872214
90,14,1,-0.89026827
91,14,43,0.36234656
92,14,50,0.59443444
93,14,67,0.6723499
94,14,79,0.5635441
95,14,85,2.2228553
96,14,87,0.7495562
97,14,90,0.13577357
98,14,100,-0.34457374
99,14,109,-0.5280962
100,15,55,1.0563214
101,15,73,0.185946
102,15,100,-0.16387236
103,16,27,0.47471288
104,16,29,-0.0046001323
105,16,40,0.45230845
106,16,52,1.0159477
107,16,53,-0.7330784
108,16,57,0.7758778
109,16,83,0.011774314
110,16,86,1.8831495
111,16,98,-0.54637945
112,17,60,-0.84133273
113,18,36,-0.059433416
114,18,53,-2.1958904
115,18,57,0.45129862
116,18,92,-0.03360292
117,18,121,-0.0738549
118,18,127,-0.26855332
119,19,50,-0.4144285
120,19,79,-0.10415396
121,19,89,-0.8036327
122,19,122,0.23968981
123,20,29,-1.3513503
124,20,63,0.20589052
125,20,71,0.62443346
126,20,75,-0.26632303
127,20,81,0.4875009
128,21,4,0.031320434
129,21,5,0.48257598
130,21,46,0.59829015
131,21,77,-1.1318694
132,21,95,0.38286772
133,22,12,0.47009516
134,22,22,1.3520819
135,22,25,-0.25679314
136,23,8,0.30120325
137,23,17,0.86295044
138,23,24,-0.010513801
139,23,54,-0.02846629
140,23,75,-0.8443933
141,23,77,-0.026197515
142,23,81,0.42439517
143,23,125,0.5744946
144,24,4,-0.5258107
145,24,6,0.47313973
146,24,7,0.26401573
147,24,46,-0.36046696
148,24,71,1.6514788
149,24,123,0.78047156
150,25,5,-1.1339865
151,25,7,0.4795063
152,25,42,0.47613603
153,25,65,0.3369012
154,25,76,0.88268536
155,25,87,0.0012575618
156,25,94,-0.3597624
157,26,73,0.010505759
158,26,98,0.5888509
159,26,115,-1.1020318
160,26,117,0.19160227
161,27,16,0.54787093
162,27,27,0.28490603
163,27,57,0.48562884
164,27,88,0.25940377
165,27,109,0.079289995
166,28,37,0.49611545
167,28,84,-0.031256016
168,28,98,0.35896897
169,28,108,-0.57310116
170,28,113,0.2629487
171,29,32,-2.2863512
172,29,51,-0.33688167
173,29,70,0.29542366
174,29,87,0.25198504
175,29,112,-0.077206075
176,29,113,0.32268673
177,29,115,0.3260976
178,29,116,-0.33002052
179,29,127,-0.42959753
180,30,8,-0.29696983
181,30,16,-0.16121982
182,30,40,0.0066276947
183,30,43,-0.7812921
184,30,57,-1.3453928
185,30,105,-0.4347391
186,31,38,-0.35036266
187,31,47,-0.29356644
188,31,70,-0.20948943
189,31,74,0.030304272
190,31,88,0.30051884
191,31,92,-2.2445712
192,31,119,-0.17241189
193,32,0,-0.21726657
194,32,6,0.08126308
195,32,11,1.5098292
196,32,54,-0.19466299
197,32,94,0.16354406
198,33,8,0.055840727
199,33,38,-0.4361977
200,33,50,-0.43095315
201,33,115,0.42803553
202,34,3,0.30801666
203,34,13,0.31202874
204,34,14,-1.042746
205,34,23,-0.2660908
206,34,39,-0.16508213
207,34,47,-1.0344567
208,35,7,0.26523668
209,35,23,-0.7932388
210,35,25,-0.01987118
211,35,98,0.6387995
212,35,112,-0.05637441
213,36,31,0.35603872
214,36,32,0.61657023
215,36,59,0.71789557
216,36,62,-0.3534685
217,36,94,0.19589202
218,36,120,-0.3431871
219,36,127,-1.3811624
220,37,25,-0.03190895
221,37,78,0.7841385
222,37,89,-0.91142595
223,37,112,-1.5115411
224,38,96,-0.6378366
225,39,6,-0.09374957
226,39,37,-0.0067528533
227,39,56,-0.727203
228,39,91,0.11704003
229,39,96,1.5327091
230,39,117,0.11945218
231,39,126,0.32454908
232,39,127,0.587704
233,40,17,-0.3752266
234,40,18,-0.947748
235,40,27,-0.6521733
236,40,32,-0.3317167
237,40,36,-0.8079278
238,40,41,0.33267996
239,40,49,0.40885508
240,41,23,-0.09810073
241,41,75,-0.095342495
242,41,96,0.9556565
243,41,105,0.94449264
244,41,123,-0.22287811
245,42,31,0.2414088
246,42,42,1.8633956
247,42,92,-0.050347652
248,42,116,-0.16712856
249,42,130,0.5103065
250,43,14,-1.3004935
251,43,41,-0.062124226
252,43,77,-0.22390632
253,43,103,1.6600723
