Id,Source,Target,Weight
0,0,0,1.1715609
1,0,43,-1.107364
2,0,70,-0.47882593
3,0,80,-1.0941849
4,0,85,-0.98142546
5,0,111,-0.015339447
6,1,1,1.602756
7,1,8,0.013309562
8,1,16,-0.03469353
9,1,77,0.18648128
10,1,84,-1.4942627
11,1,120,1.8117602
12,1,123,0.40088367
13,1,130,0.00010125124
14,2,1,-0.9757827
15,2,17,4.2558656
16,2,35,0.01566187
17,2,38,1.0961255
18,2,68,0.5605004
19,2,82,-0.046727404
20,2,92,2.3784814
21,2,109,0.6377068
22,2,128,3.4410439
23,3,0,-1.6216209
24,3,63,0.026475945
25,3,92,-1.1037431
26,3,104,0.60201544
27,3,111,0.32930198
28,3,130,1.0200446
29,4,10,-0.022915129
30,4,19,0.39706343
31,4,36,0.8962138
32,4,102,0.033179827
33,4,105,0.8665829
34,4,110,0.5683403
35,5,16,1.8308201
36,5,19,0.70388454
37,5,35,-0.36081925
38,5,39,1.4908465
39,5,55,0.035749324
40,5,75,-2.5637338
41,5,79,-2.0216377
42,5,98,-2.204641
43,5,111,0.03867156
44,5,113,1.7448171
45,5,123,-0.26631448
46,5,126,-1.409712
47,5,129,-0.22009501
48,6,9,0.60189474
49,6,11,-0.8221034
50,6,20,1.1493239
51,6,43,0.9251568
52,6,45,0.80450374
53,6,67,-0.9102833
54,6,70,1.8792506
55,6,75,0.5053534
56,6,81,1.6354418
57,6,108,-1.060318
58,6,111,0.66253513
59,6,112,1.5149616
60,7,6,-1.176442
61,7,8,-0.20684786
62,7,14,0.07948504
63,7,16,-0.8702589
64,7,25,-1.0251292
65,7,27,0.011680867
66,7,32,0.99351686
67,7,33,0.6456274
68,7,36,-0.00020021084
69,7,39,-1.7893342
70,7,44,1.685235
71,7,45,-0.6560364
72,7,55,0.6591687
73,7,81,-1.1818843
74,7,94,0.80359983
75,7,117,0.19637349
76,7,120,-0.59317327
77,7,129,-0.0017955374
78,8,46,-0.01953202
79,8,50,0.013357073
80,8,58,-0.6392549
81,8,103,0.1699823
82,8,115,1.2822547
83,9,0,-2.2924592
84,9,1,0.06765125
85,9,8,-1.1706841
86,9,10,0.0031842492
87,9,36,4.122327
88,9,58,0.12052252
89,9,59,0.57569647
90,9,62,1.2381444
91,9,85,0.5637032
92,9,105,-0.41272607
93,9,119,-0.0060973475
94,9,124,2.6805403
95,9,125,1.0496697
96,9,127,0.21915665
97,9,129,-1.2645192
98,10,4,-1.0518937
99,10,31,-0.24863824
100,10,45,0.9294285
101,10,62,0.25228572
102,10,64,-0.50557107
103,10,73,1.5982624
104,10,78,-0.2324883
105,10,82,0.017023416
106,10,92,-1.5580151
107,10,109,1.1185304
108,10,120,1.9937563
109,11,2,-2.4230409
110,11,6,-0.11893589
111,11,15,-2.081912
112,11,62,-1.5201417
113,11,64,-1.8728172
114,11,87,1.185382
115,11,93,1.044129
116,11,98,-1.8029505
117,11,115,0.91007435
118,12,0,-1.4299299
119,12,9,0.66425884
120,12,15,0.9053909
121,12,20,-1.4369833
122,12,29,0.5002352
123,12,55,1.4605901
124,12,60,0.893941
125,12,69,-1.2437068
126,12,89,-0.0069117346
127,12,99,0.8543906
128,12,103,1.741493
129,12,108,-1.4589005
130,12,112,-0.0030147152
131,12,115,2.99667
132,12,117,0.9019779
133,13,4,-1.7086055
134,13,9,-3.2057877
135,13,16,-0.90599364
136,13,22,1.0725683
137,13,28,1.5935401
138,13,29,-2.1370213
139,13,44,1.1442139
140,13,64,-1.2300739
141,13,77,-1.5318308
142,13,82,-1.5415007
143,13,92,1.5664556
144,13,96,1.3809985
145,13,101,0.60004944
146,13,109,0.8015559
147,13,112,0.6590137
148,13,113,-1.1195308
149,13,115,-0.010617716
150,13,120,-2.6575165
151,13,128,-1.2118326
152,14,7,-0.7370524
153,14,23,0.65279883
154,14,90,-0.56028605
155,14,118,0.72701603
156,14,119,1.8367523
157,15,34,0.92230326
158,15,55,0.500892
159,15,64,-0.93233716
160,15,75,0.012977717
161,15,80,1.4879065
162,15,101,-0.5105592
163,15,119,-2.1372993
164,16,1,-0.931839
165,16,17,-3.0588224
166,16,32,1.7017232
167,16,36,1.054551
168,16,48,0.79230756
169,16,49,0.054371353
170,16,57,0.30410212
171,16,61,2.0277994
172,16,65,-1.3607793
173,16,73,-3.1580248
174,16,80,-1.6834917
175,16,104,-0.03976117
176,16,109,-1.7435502
177,16,110,-1.8577513
178,16,114,-0.43508086
179,16,119,1.751194
180,17,25,2.0713608
181,17,27,1.1610695
182,17,31,3.0827816
183,17,38,-1.7603062
184,17,43,3.0579033
185,17,67,0.60724944
186,17,68,2.1195502
187,17,82,0.23951913
188,17,88,1.4488119
189,17,90,-0.85418355
190,17,93,-0.020855166
191,17,95,1.6387254
192,17,107,-0.15320979
193,17,124,1.8519906
194,17,128,-1.2436057
195,18,2,-2.8306296
196,18,4,-1.3871788
197,18,36,3.6598957
198,18,38,-1.5516596
199,18,40,-1.8820438
200,18,67,-1.6325504
201,18,75,0.0038549593
202,18,78,-0.7585798
203,18,90,-1.1052727
204,18,101,-3.1050727
205,18,103,-1.4833398
206,18,108,1.1541315
207,18,127,-0.9345472
208,19,11,1.8898818
209,19,19,2.1300082
210,19,24,-2.2784734
211,19,25,-0.99634695
212,19,27,1.5712268
213,19,44,-2.1646357
214,19,54,-0.5189608
215,19,57,0.38538927
216,19,58,1.256209
217,19,76,0.022759639
218,19,82,-1.5748434
219,19,112,-2.736553
220,19,127,0.35239676
221,19,128,1.5367643
222,19,130,0.9322307
223,20,44,1.4719186
224,20,59,0.014375473
225,20,99,0.013665125
226,20,111,-0.37042537
227,20,114,-1.9745251
228,20,115,-1.7020546
229,20,129,0.8652006
230,21,6,-0.7205534
231,21,14,1.447706
232,21,22,0.38040072
233,21,41,-1.752258
234,21,44,-2.0884626
235,21,83,0.37292978
236,21,94,-0.009997672
237,21,95,-0.601414
238,21,106,-0.58331376
239,21,120,2.4911623
240,21,127,0.004203109
241,22,4,-2.6669228
242,22,18,3.2647355
243,22,24,0.43703592
244,22,25,-3.24268
245,22,33,-0.95394903
246,22,35,-2.1787803
247,22,42,1.7581849
248,22,53,0.017497934
249,22,54,-0.41549912
250,22,57,-0.99842095
251,22,63,0.8030362
252,22,78,0.41653055
253,22,88,1.2446147
254,22,89,-1.1427691
255,22,91,-1.4732422
256,22,94,1.1732917
257,22,100,0.40371308
258,22,108,1.1960678
259,22,109,1.7881684
260,22,119,-1.007782
261,22,130,-1.2726815
262,23,5,0.68686634
263,23,6,1.3395841
264,23,83,1.8091773
