Id,Source,Target,Weight
0,0,25,-1.5384227
1,0,29,0.018647682
2,0,129,0.5816992
3,1,8,0.837741
4,1,23,0.8676773
5,1,26,0.5050339
6,1,36,0.64571106
7,1,44,-1.043674
8,1,69,0.6821226
9,1,128,-0.53116035
10,2,14,1.1802868
11,2,21,-0.0014438418
12,2,26,1.5982894
13,2,30,0.5924255
14,2,56,-0.54661995
15,2,73,-0.28474462
16,2,81,0.69871545
17,2,93,-0.63680965
18,2,126,0.9993667
19,2,129,1.112488
20,3,8,0.4051443
21,3,39,-0.45775512
22,3,53,-0.015025882
23,3,73,0.9325448
24,3,83,0.28113157
25,3,115,0.7011815
26,3,116,-0.27771664
27,3,123,0.00058000954
28,3,125,-0.40168762
29,4,1,0.7662365
30,4,2,-0.007808281
31,4,8,-0.35798663
32,4,24,0.03425678
33,4,58,0.10879412
34,4,83,-0.7122636
35,4,112,0.0008978552
36,4,123,0.0005608748
37,4,128,1.4158883
38,5,25,1.7144095
39,5,29,0.7211564
40,5,32,-0.82032007
41,5,37,1.859382
42,5,51,-0.03085125
43,5,52,0.64777404
44,5,66,-0.4629183
45,5,68,1.0796264
46,5,76,-0.75183266
47,5,80,0.8768452
48,5,105,-0.33191207
49,5,111,0.06226301
50,6,15,-1.6522971
51,6,23,-0.7969077
52,6,35,0.13736984
53,6,77,-1.8965176
54,6,109,2.6159859
55,6,114,1.0875467
56,6,128,3.037969
57,7,5,0.6366075
58,7,7,2.629293
59,7,12,1.890576
60,7,20,1.3486474
61,7,29,0.8708144
62,7,32,0.8557474
63,7,44,1.3949926
64,7,76,4.757129
65,7,82,1.7056072
66,7,120,-0.8121924
67,8,9,0.21358603
68,8,25,-1.3542724
69,8,33,-0.9169426
70,8,35,-2.237751
71,8,37,-2.044349
72,8,61,-3.4850843
73,8,84,0.760553
74,8,99,-1.5610104
75,8,114,1.3561186
76,8,115,-0.041358724
77,9,10,3.2344568
78,9,16,0.038977366
79,9,18,2.448479
80,9,20,0.4017005
81,9,22,-2.4252882
82,9,32,0.8466393
83,9,35,1.777676
84,9,40,-3.3525434
85,9,52,-1.2901757
86,9,59,-1.2291968
87,9,68,0.37348253
88,9,71,-0.97796607
89,9,74,-2.2492356
90,9,89,1.3661305
91,9,91,0.97041404
92,9,97,-0.3137875
93,9,105,1.7175746
94,9,109,-0.115223005
95,9,112,0.81542885
96,9,125,1.3235815
97,10,26,-2.002562
98,10,33,-1.2919877
99,10,37,-1.8125613
100,10,46,2.3007326
101,10,63,-0.03588582
102,10,64,-0.4618726
103,10,79,2.5793543
104,10,83,-1.6456332
105,10,84,0.28585017
106,10,90,-0.8343183
107,10,96,-0.22842412
108,10,98,0.07595209
109,10,100,1.4049677
110,10,111,-0.29838005
111,10,113,-0.4057023
112,10,114,0.5882746
113,10,118,-0.011573557
114,11,14,1.2970865
115,11,42,-2.3893971
116,11,52,-0.0041865846
117,11,67,0.53757805
118,11,88,-0.274232
119,11,115,0.5229078
120,12,25,0.12751056
121,12,32,0.020584194
122,12,39,-0.21597426
123,12,65,-0.25109905
124,12,67,0.54595697
125,12,94,-1.0628171
126,12,109,0.987057
127,12,112,-0.80503553
128,12,119,-0.4244793
129,12,126,-0.009296856
130,13,0,-2.243084
131,13,2,-0.0103427265
