Id,Source,Target,Weight
0,0,4,0.78733945
1,0,33,-0.7866972
2,0,35,-0.48943287
3,0,56,0.05961969
4,0,57,0.8841797
5,0,60,0.78460467
6,0,66,1.3530558
7,0,70,0.23614854
8,0,72,-0.12778568
9,0,75,0.064652495
10,0,78,0.98508817
11,0,88,1.1383129
12,0,89,-0.4594177
13,0,107,-1.3800873
14,0,113,-0.6419028
15,0,115,-0.34421942
16,1,0,-1.1866175
17,1,4,-0.21916601
18,1,27,1.750324
19,1,45,-0.73506886
20,1,56,-0.14021426
21,1,60,0.18305202
22,1,74,-0.4083183
23,1,92,0.48984206
24,1,101,3.456346
25,1,125,-1.3962061
26,2,29,-0.660591
27,2,35,-0.08686127
28,2,38,-0.2223856
29,2,43,-0.4205968
30,2,50,-0.30189428
31,2,63,-1.4329796
32,2,72,-0.04224139
33,2,111,-0.29183015
34,2,121,-0.3238047
35,2,122,1.2093986
36,2,124,-0.97256804
37,2,130,0.06703405
38,3,18,-0.45621517
39,3,25,-0.24456784
40,3,27,-0.46011814
41,3,43,0.12677509
42,3,52,0.28865853
43,3,80,-0.06645835
44,3,85,0.8582494
45,3,104,-0.50929767
46,3,117,-1.4878951
47,3,121,0.016928868
48,3,125,1.0274172
49,4,25,-0.07159014
50,4,55,-0.009946228
51,4,62,-0.89896697
52,4,63,0.2280227
53,4,64,-1.3523643
54,4,83,-0.15306734
55,4,86,0.83815736
56,4,92,1.0329944
57,4,95,0.42922923
58,4,115,-0.10271529
59,5,4,-1.3279785
60,5,10,1.348123
61,5,12,-0.014394813
62,5,22,1.6871623
63,5,50,0.14235686
64,5,51,0.15870742
65,5,63,0.27993828
66,5,64,-0.18831919
67,5,65,-0.412101
68,5,77,1.2230828
69,5,81,1.4675434
70,5,92,0.36904797
71,5,103,-1.6098378
72,5,116,-1.2511293
73,5,128,0.15313762
74,6,8,0.35133258
75,6,10,-2.6311877
76,6,15,-0.33484164
77,6,25,0.008760812
78,6,32,1.03596
79,6,35,0.19583757
80,6,40,0.6322344
81,6,52,-0.6193113
82,6,54,0.044929277
83,6,64,0.31108025
84,6,70,-0.18040979
85,6,80,0.44761556
86,6,93,0.8518397
87,6,94,0.21293491
88,6,100,-0.9021358
89,6,101,0.31878877
90,6,104,0.874485
91,6,105,-0.041156236
92,6,119,-0.056479275
93,6,126,-0.043727458
94,6,130,0.13955575
95,7,3,-0.56822544
96,7,9,-2.9746385
97,7,12,0.7418636
98,7,49,-0.41778454
99,7,51,-1.5262133
100,7,57,1.4180614
101,7,58,-0.43802226
102,7,65,-1.6207038
103,7,89,1.3539099
104,7,98,-0.18462525
105,7,120,-1.1086332
106,8,1,-0.124241605
107,8,26,-0.060925312
108,8,32,1.4402856
109,8,39,-1.4923689
110,8,59,-0.68483126
111,8,93,2.2818696
112,8,105,0.66299534
113,8,108,-0.07853108
114,8,128,0.2523626
115,9,25,1.7058207
116,9,51,0.045019504
117,9,57,-0.9178839
118,9,59,-0.8752301
119,9,60,-0.98240954
120,9,65,-0.14490594
121,9,84,1.6681263
122,9,96,-0.3790614
123,9,99,-1.3380214
124,9,102,0.84127015
125,9,110,0.7362517
126,9,115,-0.13854675
127,9,124,0.25568193
128,10,16,0.21254984
129,10,46,0.12177513
130,10,47,0.25203273
131,10,67,-0.16903535
132,10,70,-0.27482316
133,10,76,0.25869593
134,10,89,0.020037038
135,10,91,0.21982272
136,10,113,-0.12877594
137,10,120,2.1912875
138,10,123,0.21914573
139,10,128,0.22416203
140,11,1,-0.031645514
141,11,4,0.19234078
142,11,27,0.46823585
143,11,64,-0.3645497
144,11,75,-0.061987642
145,11,85,1.2355309
146,11,88,-0.15742229
147,11,105,0.45867684
148,11,110,1.0814267
149,11,122,0.36755368
150,11,123,0.90525615
151,12,2,-1.2941433
152,12,12,0.024538709
153,12,44,0.27878445
154,12,59,0.14849274
155,12,61,0.5984657
156,12,70,-0.08197205
157,12,78,1.1071702
158,12,81,0.069406845
159,12,86,-4.0408654
160,12,87,0.41100836
161,12,92,-2.064421
162,12,114,-0.4846146
163,13,10,-0.13488835
164,13,13,-1.1026216
165,13,21,-0.5479669
166,13,23,-2.578052
167,13,25,-0.005044099
168,13,29,0.05698997
169,13,34,0.62652355
170,13,39,-0.52290773
171,13,42,0.27115595
172,13,51,-1.5281811
173,13,61,0.55337685
174,13,75,-0.98494685
175,13,90,-1.9489156
176,13,94,0.7991034
177,13,103,-0.37212065
178,13,106,1.4594194
179,13,117,1.5719439
180,13,121,-1.1981956
181,14,24,1.0111874
182,14,48,-0.23117217
183,14,82,0.09919383
184,14,104,-0.86675006
185,14,106,0.17801641
186,14,121,0.39133766
187,14,122,-1.0881294
188,15,1,-1.5437648
189,15,5,-0.18138568
190,15,58,-1.9795537
191,15,78,-0.5259924
192,15,85,-1.1825182
193,15,98,0.8539706
194,15,112,1.5220764
195,15,119,-3.8983307
196,15,120,-1.4840779
197,16,9,0.45097166
198,16,10,-1.2631485
199,16,22,-0.9671306
200,16,31,0.063120894
201,16,53,0.36038274
202,16,58,-0.55036837
203,16,101,0.64578474
204,16,106,0.029395081
205,16,124,-1.2673554
206,16,129,-1.2762942
207,17,38,-0.035466947
208,17,49,0.013415115
209,17,55,0.5503707
210,17,56,-0.8229227
211,17,59,0.4376068
212,17,68,0.015149683
213,17,73,-1.2428838
214,17,77,0.16961652
215,17,82,1.5826935
216,17,87,0.69451344
217,17,91,0.5716865
218,17,93,-1.0253905
219,17,101,-0.8818928
220,17,102,-1.1661208
