Id,Source,Target,Weight
0,0,11,0.23838894
1,0,29,0.010060638
2,0,31,-0.022641556
3,0,36,1.1065776
4,0,52,-0.15551628
5,0,62,-0.12262811
6,0,70,0.39568412
7,0,76,-0.06559817
8,0,80,0.006211289
9,0,129,-0.042898465
10,1,8,-1.3266089
11,1,17,8.923467e-06
12,1,19,0.039760783
13,1,24,0.010777033
14,1,30,0.08819946
15,1,62,0.0961568
16,1,63,1.7640185
17,1,76,-1.4941477
18,1,78,0.005634403
19,1,83,-8.126651e-05
20,1,93,0.19792886
21,1,104,-0.6900054
22,1,105,-0.0013297667
23,2,17,-0.0012181919
24,2,37,-2.336664
25,2,43,-0.0005002465
26,2,85,-0.0002396988
27,2,102,0.0010245258
28,2,117,-0.8571834
29,3,16,-0.8220579
30,3,30,0.47772172
31,3,31,-0.21499155
32,3,40,-0.0024457267
33,3,43,0.0004466007
34,3,45,-1.0421703
35,3,48,-0.00077428593
36,3,58,0.011494829
37,3,64,-3.3436372e-05
38,3,65,0.004997228
39,3,85,-1.8202234e-05
40,3,86,0.63587123
41,3,108,-0.030177154
42,3,112,-0.004336739
43,4,19,0.00042636518
44,4,22,0.0004424777
45,4,103,-9.791023e-05
46,4,107,0.0007330165
47,4,125,-0.0001663391
48,5,15,0.00021808175
49,5,40,0.00037682086
50,5,41,-0.0049512777
51,5,124,-0.00022845867
52,5,127,-0.0012636515
53,6,7,0.0012741585
54,6,8,-0.02139001
55,6,11,-0.035434924
56,6,25,0.23774081
57,6,41,2.5342102
58,6,44,1.6653432
59,6,61,1.3583958
60,6,69,0.06715175
61,6,76,0.03129421
62,6,77,-0.5684918
63,6,80,-0.5922289
64,6,82,-0.47870538
65,6,89,0.013237667
66,6,119,-0.0001731721
67,7,0,-0.011985214
68,7,20,-0.00045775203
69,7,24,-0.012676502
70,7,36,0.0057649245
71,7,76,-0.044146433
72,7,79,0.047776807
73,7,80,-0.25796348
74,7,82,-2.1239505
75,7,120,0.45541567
76,8,19,0.5652576
77,8,24,0.12314411
78,8,44,-0.0077306284
79,8,46,-0.028437782
80,8,56,-0.00083021016
81,8,80,0.013413487
82,8,81,0.15401894
83,8,84,0.00070575136
84,8,95,-0.0059004985
85,8,98,-0.00034969626
86,8,103,0.00074304367
87,8,113,-0.2181085
88,9,11,0.16452007
89,9,22,0.73805237
90,9,29,0.21474883
91,9,42,0.0003240321
92,9,44,-0.0115237
93,9,51,0.35860655
94,9,52,-1.2178693
95,9,54,0.9991194
96,9,69,0.4954659
97,9,75,0.21144055
98,9,76,-0.44720447
99,9,77,0.6255993
100,9,78,-0.0077020726
101,9,80,-0.2027602
102,9,81,0.015724858
103,9,82,-0.30932453
104,9,93,-0.005942882
105,9,101,-0.75071716
106,9,110,0.29786915
107,9,124,-7.100096e-05
108,10,30,-0.4223838
109,10,45,-0.6316268
110,10,61,-0.020028088
111,10,73,0.0012195198
112,10,107,-0.00058750284
113,10,113,0.013768337
114,10,118,0.29879948
115,11,14,0.7950427
116,11,18,3.8298736
117,11,36,-0.7156754
118,11,40,-1.4028022
119,11,43,0.00038960812
120,11,63,2.3522117
121,11,67,-0.036664397
122,11,70,-0.34394228
123,11,76,-0.36356077
124,11,86,0.04595055
125,11,97,0.7865932
126,11,102,0.00064450037
127,11,120,-0.001148948
128,11,122,-0.002806772
129,11,124,-0.0005342549
130,12,0,-0.5499981
131,12,11,0.63232994
132,12,13,0.30507
133,12,22,0.20940387
134,12,29,-0.18549192
135,12,51,1.5631776
136,12,52,-0.93538755
137,12,67,0.0335037
138,12,70,0.4738764
139,12,75,0.001524138
140,12,77,-1.3928607
141,12,101,-0.83371854
142,12,108,0.0776819
143,12,118,-1.2017841
144,12,122,-1.1802084
145,12,126,0.015442446
146,13,0,0.13400856
147,13,3,-0.6121081
148,13,6,0.22209339
149,13,13,1.8491964
150,13,31,0.023885516
151,13,36,0.2649074
152,13,62,0.11414866
153,13,69,0.19340447
154,13,72,-0.80945593
155,13,85,-0.00026683387
156,13,108,-1.5956556
157,13,116,0.3955185
158,13,126,0.675192
159,13,129,2.045919
160,14,11,0.6670505
161,14,13,-0.70593864
162,14,36,0.005341815
163,14,68,1.0542465
164,14,116,-0.08265435
165,14,124,0.0044290186
166,14,127,-0.00067878515
167,15,10,-0.0006549184
168,15,32,0.00056135777
169,15,41,-0.005754647
170,15,43,-1.2269244e-05
171,15,51,0.5360026
172,15,76,0.115928434
173,15,77,-0.40660742
174,15,93,0.0055639893
175,15,113,-0.0037743622
176,15,122,-0.014655876
177,15,126,-0.0027982676
178,16,3,0.7288777
179,16,13,-0.057562638
180,16,27,-0.0005326481
181,16,30,-0.3251715
182,16,45,-0.051682975
183,16,62,-0.009669596
184,16,72,-0.032848205
185,16,82,0.38090438
186,16,110,1.3039076
187,17,13,-0.094313644
188,17,30,0.017015617
189,17,45,0.23490831
190,17,57,-1.493821e-05
191,17,93,0.00012977276
192,17,99,-0.0004511935
193,17,103,0.0009896455
194,17,116,0.009697093
195,18,0,-0.0038124837
196,18,11,-0.010482084
197,18,13,0.05644287
198,18,14,0.50895965
199,18,40,-0.60780644
200,18,51,0.150055
201,18,62,0.8427973
202,18,72,0.6827999
203,18,91,-0.00044606303
204,18,97,-0.09173258
205,18,110,-0.156491
206,18,116,-0.2439878
207,19,2,-0.009970571
208,19,5,0.0020415608
209,19,6,0.38128445
210,19,8,-1.4194067
211,19,23,0.46319923
212,19,34,-0.0011976027
213,19,44,-0.40542576
214,19,49,-0.0029563308
215,19,77,0.18982251
216,19,82,0.013066625
217,19,93,-0.41357145
218,19,100,0.09264813
219,19,103,0.0012793988
220,19,104,-0.14249213
221,19,114,-1.0446668
222,20,63,-0.5567751
223,20,76,-0.0033029688
224,20,81,0.001052481
225,20,93,0.0210935
226,21,3,0.0007184236
227,21,24,-0.0035040984
228,21,26,0.0007632597
229,21,39,-0.003726711
230,21,60,-0.00038147665
231,21,61,-0.005547792
232,21,78,-0.49789515
233,21,82,-0.015578471
234,21,84,-0.00086795416
235,21,95,0.00084151153
236,21,98,0.00027012735
237,21,104,0.16182221
238,21,114,0.02784951
239,21,119,0.00011424793
240,22,80,0.38017634
241,22,105,0.0009111818
242,23,1,0.00018956265
243,23,8,-0.50421274
244,23,19,0.007995662
245,23,25,0.006379675
246,23,41,-0.369586
247,23,44,0.5301121
248,23,46,0.10091198
249,23,51,1.6793792
250,23,61,-0.16035676
251,23,69,0.21400979
252,23,78,0.07482699
253,23,81,-0.34799257
254,23,100,-0.018712886
255,23,101,0.024450498
256,23,128,0.0016557564
257,24,1,-7.091748e-05
258,24,5,0.0022569252
259,24,6,1.0978258
260,24,19,0.016768334
261,24,23,-2.0021117
262,24,45,1.0921361
263,24,46,0.013895108
264,24,51,-0.66945565
265,24,61,0.35095543
266,24,69,0.01194044
267,24,76,-0.14818016
268,24,80,-0.04581871
269,24,104,0.0030880615
