Id,Source,Target,Weight
0,0,8,-0.01722243
1,0,15,1.729439
2,0,22,-0.015000093
3,0,25,0.3549765
4,0,32,3.6730306
5,0,94,0.70804507
6,0,107,2.044167
7,0,125,0.03627568
8,0,127,0.6661023
9,1,13,-0.01891524
10,1,31,-0.3621002
11,1,45,1.1320757
12,1,48,-0.23647217
13,1,83,-0.68621093
14,1,105,0.86551845
15,2,1,-0.527221
16,2,4,1.7473063
17,2,10,-2.4704158
18,2,22,-2.9997482
19,2,34,-0.51371413
20,2,39,0.69140106
21,2,50,0.1806737
22,2,56,0.85453606
23,2,57,-2.3477304
24,2,61,-0.82614195
25,2,62,-1.6343246
26,2,65,0.5389794
27,2,74,0.1319053
28,2,89,0.7254496
29,2,94,0.65281534
30,2,102,0.7944273
31,2,104,-3.1178
32,2,105,1.8122554
33,2,109,2.4437444
34,2,113,-1.6224812
35,2,126,3.6216261
36,3,2,-0.006426238
37,3,4,-0.68574595
38,3,7,-0.83380055
39,3,9,-0.42217535
40,3,20,2.4391248
41,3,23,1.2004992
42,3,33,0.20555656
43,3,41,0.64623916
44,3,44,0.024286136
45,3,45,-1.8213917
46,3,48,0.33053377
47,3,50,-1.2125177
48,3,65,1.4213908
49,3,69,-0.25209302
50,3,79,-0.15022133
51,3,81,0.76252466
52,3,91,0.7728288
53,3,111,-0.03759712
54,3,115,1.575126
55,3,117,1.0303448
56,3,123,-0.9251332
57,3,124,-0.2624206
58,4,17,0.9696473
59,4,22,0.96886295
60,4,31,1.4708211
61,4,39,-0.24113949
62,4,56,1.0740469
63,4,97,0.44563687
64,5,7,0.45604914
65,5,16,0.29150164
66,5,19,1.3556427
67,5,52,0.17259426
68,5,75,-0.5625322
69,5,78,0.90029675
70,5,79,-0.010143885
71,5,100,-0.057602324
72,5,102,0.3256604
73,5,110,-0.6852142
74,5,112,1.7745639
75,5,114,1.1911814
76,6,19,0.42967606
77,6,37,0.928244
78,6,57,-0.19537276
79,6,79,0.89889586
80,6,80,0.219511
81,6,92,0.07760384
82,6,98,0.02186574
83,6,101,0.4364851
84,6,102,-0.31695986
85,6,113,-0.45365867
86,7,33,-0.8299335
87,7,38,-0.28116947
88,7,39,0.8672486
89,7,45,0.99773765
90,7,51,-0.5006405
91,7,58,0.26214096
92,7,60,-0.3407236
93,7,67,-0.38201538
94,7,97,0.66362536
95,7,102,0.034357153
96,7,109,-0.83548623
97,7,114,1.6647482
98,7,124,-0.14962538
99,8,4,1.065644
100,8,8,0.047843475
101,8,9,-0.96384233
102,8,35,-0.76895785
103,8,45,0.33474657
104,8,52,1.6543239
105,8,62,0.1986748
106,8,97,-1.5680606
107,8,105,1.8166463
108,8,116,0.56598884
109,9,3,0.10181092
110,9,7,0.05098501
111,9,9,0.1123522
112,9,15,-0.63915133
113,9,19,-0.53777415
114,9,22,-0.633624
115,9,29,-0.3817324
116,9,35,0.27825418
117,9,54,0.68730533
118,9,76,0.5373428
119,9,82,-1.1960115
120,9,87,-1.1084594
121,9,89,-2.5766704
122,9,112,1.0042965
123,9,115,1.2003899
124,10,7,-0.7415963
125,10,16,-1.4517088
126,10,20,-1.5464162
127,10,36,0.50291
128,10,38,1.1860522
129,10,42,-1.0652416
130,10,53,-0.636516
131,10,58,-0.00769794
132,10,61,0.02740984
133,10,66,-1.7697444
134,10,73,0.3205436
135,10,82,1.2121679
136,10,84,-0.54814136
137,10,89,-2.7654283
138,10,104,1.7249202
139,10,125,1.2748531
140,10,127,-0.44578204
141,11,33,0.7438566
