Id,Source,Target,Weight
0,0,9,-0.4650835
1,0,12,-0.31503558
2,0,14,-0.0056061717
3,0,42,0.34110132
4,0,54,-0.30624938
5,0,70,-0.12214448
6,0,74,0.5803668
7,1,15,-0.0006160063
8,1,19,-0.016428556
9,1,20,-0.31491008
10,1,25,-0.031579643
11,1,28,-2.8613527
12,1,33,1.3647954
13,1,35,0.15507022
14,1,44,0.06758795
15,1,58,0.00027094636
16,1,61,-0.8342009
17,1,77,0.030799553
18,1,78,-0.3649578
19,1,85,-0.00864351
20,1,96,-2.6872346
21,1,104,-0.9451674
22,1,107,0.27856773
23,1,113,-0.3780245
24,1,114,0.02269324
25,1,117,0.42108166
26,2,17,0.18538271
27,2,37,-0.29572734
28,2,49,-0.28190255
29,2,60,0.6269224
30,2,64,-0.15809435
31,2,70,0.003160324
32,2,85,-0.0014867142
33,2,90,-0.14317963
34,2,117,-0.33298156
35,2,119,-0.0010119542
36,2,121,0.18217787
37,3,16,0.6361879
38,3,30,0.10686617
39,3,31,1.9198997e-05
40,3,39,0.111783825
41,3,45,0.93844146
42,3,64,0.7499811
43,3,72,0.0069918325
44,3,74,-0.0020258406
45,3,83,-0.3367181
46,3,85,3.061626
47,3,86,-0.0050718277
48,3,88,-0.10713194
49,3,125,-0.78390837
50,3,129,0.00078814174
51,4,81,-0.04453379
52,5,22,-0.28584212
53,5,44,-0.016046053
54,5,51,0.07929863
55,5,67,-0.0138125345
56,5,75,1.0586809
57,5,79,-0.38960195
58,5,130,0.13157198
59,6,24,0.11980376
60,6,25,-0.32159895
61,6,32,-0.0004408673
62,6,43,0.3400599
63,6,51,-0.01441641
64,6,54,-0.010799836
65,6,75,0.32753724
66,6,79,-0.19458698
67,6,81,-0.0062876255
68,7,9,-0.21150257
69,7,24,0.45925322
70,7,70,-1.642873
71,7,75,-3.2993393
72,7,77,0.12917049
73,7,89,0.05091693
74,7,109,0.103893586
75,8,0,-0.011983198
76,8,19,0.045553874
77,8,24,-0.12292511
78,8,33,-2.5677192
79,8,35,0.063506275
80,8,37,0.040631898
81,8,44,-0.74648386
82,8,71,1.0443519
83,8,78,-1.7216088
84,8,96,0.88947445
85,8,104,0.63310057
86,8,107,-0.44054013
87,8,113,-0.083745316
88,8,130,0.6106147
89,9,1,-0.020724894
90,9,24,0.5617802
91,9,51,-0.4205715
92,9,70,-0.37492433
93,9,71,0.0047505503
94,9,75,0.198258
95,9,79,0.20289415
96,9,105,0.25042883
97,9,120,0.00030061716
98,9,122,-0.025123987
99,9,124,0.37435034
100,10,19,0.31745276
101,10,20,-0.010577028
102,10,74,-0.034261685
103,10,78,-0.4413258
104,10,81,0.071258925
105,10,98,0.1564952
106,10,104,0.1896131
107,10,107,0.114764206
108,11,13,0.16711076
109,11,40,0.063565336
110,11,42,0.045056026
111,11,43,0.528432
112,11,54,2.6613095
113,11,67,-1.0075877
114,11,74,-0.27983594
115,11,89,0.6287182
116,11,121,0.0013903793
117,12,0,0.28449166
118,12,9,0.38429493
119,12,13,-1.3783864
120,12,22,-1.0109164
121,12,42,0.35673675
122,12,51,1.0245628
123,12,54,0.2810685
124,12,62,0.00090824
125,12,79,-0.36903322
126,12,89,0.082771964
